,item,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,sheet,2020-03-31 00:00:00
14,Retained Earnings,,-352000.0,-283000.0,Balance Sheet,-86537.0
15,Capital Stock,134678000.0,304000.0,304000.0,Balance Sheet,304000.0
16,Common Stock,134678000.0,304000.0,304000.0,Balance Sheet,304000.0
17,Total Liabilities Net Minority Interest,1389971000.0,545000.0,244000.0,Balance Sheet,148075.0
18,Total Non Current Liabilities Net Minority Interest,174007000.0,0.0,0.0,Balance Sheet,0.0
19,Non Current Deferred Taxes Liabilities,13080000.0,,,Balance Sheet,
20,Long Term Debt And Capital Lease Obligation,80245000.0,,,Balance Sheet,
21,Long Term Capital Lease Obligation,3087000.0,,,Balance Sheet,
22,Long Term Debt,77158000.0,,,Balance Sheet,
23,Long Term Provisions,29767000.0,,,Balance Sheet,
24,Current Liabilities,1215964000.0,545000.0,244000.0,Balance Sheet,148075.0
25,Other Current Liabilities,41941000.0,,,Balance Sheet,
26,Current Debt And Capital Lease Obligation,487783000.0,500000.0,200000.0,Balance Sheet,100000.0
27,Current Capital Lease Obligation,8129000.0,,,Balance Sheet,
28,Current Debt,479654000.0,500000.0,200000.0,Balance Sheet,100000.0
29,Current Provisions,3962000.0,,,Balance Sheet,
30,Payables,640010000.0,45000.0,44000.0,Balance Sheet,48075.0
31,Accounts Payable,640010000.0,45000.0,44000.0,Balance Sheet,48075.0
32,Total Assets,2194808000.0,497000.0,265000.0,Balance Sheet,365538.0
33,Total Non Current Assets,471844000.0,65000.0,66000.0,Balance Sheet,315438.0
34,Other Non Current Assets,8191000.0,,,Balance Sheet,
35,Non Current Prepaid Assets,,20000.0,20000.0,Balance Sheet,10000.0
36,Non Current Deferred Taxes Assets,0.0,2000.0,3000.0,Balance Sheet,1438.0
37,Investmentin Financial Assets,6548000.0,,,Balance Sheet,
38,Available For Sale Securities,6548000.0,,,Balance Sheet,
39,Long Term Equity Investment,0.0,0.0,0.0,Balance Sheet,304000.0
40,Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,Balance Sheet,304000.0
41,Goodwill And Other Intangible Assets,43000.0,43000.0,43000.0,Balance Sheet,
42,Goodwill,43000.0,43000.0,43000.0,Balance Sheet,
43,Net PPE,457062000.0,,,Balance Sheet,
44,Gross PPE,457062000.0,,,Balance Sheet,
45,Construction In Progress,9727000.0,,,Balance Sheet,
46,Other Properties,447335000.0,,,Balance Sheet,
47,Current Assets,1722964000.0,432000.0,199000.0,Balance Sheet,50100.0
48,Other Current Assets,39855000.0,,,Balance Sheet,
49,Inventory,587250000.0,,,Balance Sheet,
50,Other Receivables,1979000.0,,,Balance Sheet,
51,Accounts Receivable,1036009000.0,,,Balance Sheet,
52,Cash Cash Equivalents And Short Term Investments,57871000.0,432000.0,199000.0,Balance Sheet,50100.0
53,Other Short Term Investments,32535000.0,,,Balance Sheet,
54,Cash And Cash Equivalents,25336000.0,432000.0,199000.0,Balance Sheet,50100.0
55,Cash Financial,,432000.0,199000.0,Balance Sheet,50100.0
0,Free Cash Flow,-32293000.0,-67000.0,-174000.0,Cash Flow,
1,Repayment Of Debt,,0.0,-100000.0,Cash Flow,
2,Issuance Of Debt,,300000.0,200000.0,Cash Flow,
3,Issuance Of Capital Stock,,0.0,0.0,Cash Flow,
4,Capital Expenditure,-34213000.0,,,Cash Flow,
5,End Cash Position,25336000.0,432000.0,199000.0,Cash Flow,
6,Beginning Cash Position,100593000.0,199000.0,273000.0,Cash Flow,
7,Changes In Cash,-75257000.0,233000.0,-74000.0,Cash Flow,
8,Financing Cash Flow,-44474000.0,300000.0,100000.0,Cash Flow,
9,Interest Paid Cff,-57126000.0,,,Cash Flow,
10,Net Common Stock Issuance,,0.0,0.0,Cash Flow,
11,Common Stock Issuance,,0.0,0.0,Cash Flow,
12,Net Issuance Payments Of Debt,23249000.0,300000.0,100000.0,Cash Flow,
13,Net Short Term Debt Issuance,,300000.0,100000.0,Cash Flow,
14,Short Term Debt Payments,,0.0,-100000.0,Cash Flow,
15,Short Term Debt Issuance,,300000.0,200000.0,Cash Flow,
16,Net Long Term Debt Issuance,23249000.0,,,Cash Flow,
17,Investing Cash Flow,-32703000.0,0.0,0.0,Cash Flow,
18,Interest Received Cfi,1510000.0,,,Cash Flow,
19,Net Intangibles Purchase And Sale,,0.0,0.0,Cash Flow,
20,Net PPE Purchase And Sale,-34213000.0,,,Cash Flow,
21,Purchase Of PPE,-34213000.0,,,Cash Flow,
22,Operating Cash Flow,1920000.0,-67000.0,-174000.0,Cash Flow,
23,Taxes Refund Paid,-1054000.0,0.0,0.0,Cash Flow,
24,Change In Working Capital,-13313000.0,1000.0,-23000.0,Cash Flow,
25,Change In Other Current Liabilities,-11134000.0,1000.0,-23000.0,Cash Flow,
26,Change In Other Current Assets,32691000.0,,,Cash Flow,
27,Change In Payable,-87584000.0,,,Cash Flow,
28,Change In Inventory,23053000.0,,,Cash Flow,
29,Change In Receivables,30481000.0,,,Cash Flow,
30,Other Non Cash Items,56617000.0,,,Cash Flow,
31,Provisionand Write Offof Assets,9859000.0,,,Cash Flow,
32,Depreciation And Amortization,49015000.0,,,Cash Flow,
33,Depreciation,49015000.0,,,Cash Flow,
34,Pension And Employee Benefit Expense,5363000.0,,,Cash Flow,
35,Gain Loss On Sale Of PPE,88000.0,,,Cash Flow,
36,Net Income From Continuing Operations,-110523000.0,-68000.0,-151000.0,Cash Flow,
