,item,2022-03-31 00:00:00,2021-03-31 00:00:00,sheet
31,Operating Expense,558720946.0,426705486.0,Income Statement
32,Other Operating Expenses,291747390.0,179690071.0,Income Statement
33,Depreciation And Amortization In Income Statement,159573503.0,162810247.0,Income Statement
34,Depreciation Income Statement,159573503.0,162810247.0,Income Statement
35,Gross Profit,350331174.0,220485492.0,Income Statement
36,Cost Of Revenue,54727989.0,29073519.0,Income Statement
37,Total Revenue,405059163.0,249559011.0,Income Statement
38,Operating Revenue,405059163.0,249559011.0,Income Statement
0,Ordinary Shares Number,17291696.0,17291696.0,Balance Sheet
1,Share Issued,17291696.0,17291696.0,Balance Sheet
2,Net Debt,1898395614.0,1461695304.0,Balance Sheet
3,Total Debt,1906513532.0,1467701741.0,Balance Sheet
4,Tangible Book Value,3040237004.0,3389652087.0,Balance Sheet
5,Invested Capital,4952600766.0,4863127996.0,Balance Sheet
6,Working Capital,-953441296.0,-784633788.0,Balance Sheet
7,Net Tangible Assets,3040237004.0,3389652087.0,Balance Sheet
8,Common Stock Equity,3046087234.0,3395426255.0,Balance Sheet
9,Total Capitalization,4185692106.0,4412873534.0,Balance Sheet
10,Total Equity Gross Minority Interest,3046087234.0,3395426255.0,Balance Sheet
11,Stockholders Equity,3046087234.0,3395426255.0,Balance Sheet
12,Other Equity Interest,804248944.0,1153587965.0,Balance Sheet
13,Capital Stock,2241838290.0,2241838290.0,Balance Sheet
14,Common Stock,2241838290.0,2241838290.0,Balance Sheet
15,Total Liabilities Net Minority Interest,2223200173.0,1959383516.0,Balance Sheet
16,Total Non Current Liabilities Net Minority Interest,1148651256.0,1025193626.0,Balance Sheet
17,Other Non Current Liabilities,-1.0,,Balance Sheet
18,Long Term Debt And Capital Lease Obligation,1139604872.0,1017447279.0,Balance Sheet
19,Long Term Debt,1139604872.0,1017447279.0,Balance Sheet
20,Long Term Provisions,9046385.0,7746347.0,Balance Sheet
21,Current Liabilities,1074548917.0,934189890.0,Balance Sheet
22,Other Current Liabilities,16105598.0,20145997.0,Balance Sheet
23,Current Debt And Capital Lease Obligation,766908660.0,450254462.0,Balance Sheet
24,Current Debt,766908660.0,450254462.0,Balance Sheet
25,Current Provisions,54300.0,48036.0,Balance Sheet
26,Payables,23350670.0,62879882.0,Balance Sheet
27,Accounts Payable,23350670.0,62879882.0,Balance Sheet
28,Total Assets,5269287407.0,5354809771.0,Balance Sheet
29,Total Non Current Assets,5148179787.0,5205253669.0,Balance Sheet
30,Other Non Current Assets,159850763.0,152700000.0,Balance Sheet
31,Investmentin Financial Assets,44950042.0,29349242.0,Balance Sheet
32,Available For Sale Securities,44950042.0,29349242.0,Balance Sheet
33,Goodwill And Other Intangible Assets,5850230.0,5774168.0,Balance Sheet
34,Other Intangible Assets,5850230.0,5774168.0,Balance Sheet
35,Net PPE,4937528752.0,5017430259.0,Balance Sheet
36,Gross PPE,4937528752.0,5017430259.0,Balance Sheet
37,Construction In Progress,0.0,796714.0,Balance Sheet
38,Other Properties,4937528752.0,5016633545.0,Balance Sheet
39,Current Assets,121107621.0,149556102.0,Balance Sheet
40,Other Current Assets,16162221.0,26490510.0,Balance Sheet
41,Inventory,20062241.0,12749785.0,Balance Sheet
42,Other Receivables,4499.0,6333.0,Balance Sheet
43,Taxes Receivable,16248305.0,43840732.0,Balance Sheet
44,Accounts Receivable,59938484.0,59691089.0,Balance Sheet
45,Cash Cash Equivalents And Short Term Investments,8691871.0,6777653.0,Balance Sheet
46,Other Short Term Investments,573953.0,771216.0,Balance Sheet
47,Cash And Cash Equivalents,8117918.0,6006437.0,Balance Sheet
0,Free Cash Flow,-62379473.0,-2216690.0,Cash Flow
1,Repayment Of Debt,-205198957.0,-61800000.0,Cash Flow
2,Issuance Of Debt,433311791.0,157201496.0,Cash Flow
3,Capital Expenditure,-83952542.0,-9698437.0,Cash Flow
4,End Cash Position,8117918.0,6006437.0,Cash Flow
5,Other Cash Adjustment Outside Changein Cash,1.0,,Cash Flow
6,Beginning Cash Position,6006437.0,4676392.0,Cash Flow
7,Changes In Cash,2111480.0,1330045.0,Cash Flow
8,Financing Cash Flow,66819428.0,-4692329.0,Cash Flow
9,Interest Paid Cff,-161293406.0,-100093825.0,Cash Flow
10,Net Issuance Payments Of Debt,228112834.0,95401496.0,Cash Flow
11,Net Short Term Debt Issuance,78811791.0,77201496.0,Cash Flow
12,Short Term Debt Issuance,78811791.0,77201496.0,Cash Flow
13,Net Long Term Debt Issuance,149301043.0,18200000.0,Cash Flow
14,Long Term Debt Payments,-205198957.0,-61800000.0,Cash Flow
15,Long Term Debt Issuance,354500000.0,80000000.0,Cash Flow
16,Investing Cash Flow,-86281017.0,-1459373.0,Cash Flow
17,Interest Received Cfi,617631.0,1019064.0,Cash Flow
18,Net Investment Purchase And Sale,-3750000.0,7220000.0,Cash Flow
19,Sale Of Investment,0.0,9220000.0,Cash Flow
20,Purchase Of Investment,-3750000.0,-2000000.0,Cash Flow
21,Net PPE Purchase And Sale,-83148648.0,-9698437.0,Cash Flow
22,Sale Of PPE,803894.0,0.0,Cash Flow
23,Purchase Of PPE,-83952542.0,-9698437.0,Cash Flow
24,Operating Cash Flow,21573069.0,7481747.0,Cash Flow
25,Taxes Refund Paid,37722946.0,31902090.0,Cash Flow
26,Change In Working Capital,16444631.0,-26300861.0,Cash Flow
27,Change In Other Current Liabilities,62017898.0,-34557938.0,Cash Flow
28,Change In Other Current Assets,3957953.0,6405138.0,Cash Flow
29,Change In Payable,-43526723.0,-21607138.0,Cash Flow
30,Change In Inventory,-7312456.0,-374696.0,Cash Flow
31,Change In Receivables,-245561.0,24759213.0,Cash Flow
32,Other Non Cash Items,162651355.0,154082133.0,Cash Flow
33,Depreciation And Amortization,159573503.0,162810247.0,Cash Flow
34,Depreciation,159573503.0,162810247.0,Cash Flow
35,Pension And Employee Benefit Expense,437761.0,337883.0,Cash Flow
36,Gain Loss On Investment Securities,-12631228.0,24475500.0,Cash Flow
37,Net Foreign Currency Exchange Gain Loss,4162365.0,-2720579.0,Cash Flow
38,Gain Loss On Sale Of PPE,3400589.0,0.0,Cash Flow
39,Net Income From Continuing Operations,-350024000.0,-335546693.0,Cash Flow
