,item,2020-03-31 00:00:00,sheet
20,Long Term Capital Lease Obligation,0.0,Balance Sheet
21,Long Term Debt,0.0,Balance Sheet
22,Long Term Provisions,3016000.0,Balance Sheet
23,Current Liabilities,152412000.0,Balance Sheet
24,Other Current Liabilities,44332000.0,Balance Sheet
25,Current Debt And Capital Lease Obligation,29700000.0,Balance Sheet
26,Current Debt,29700000.0,Balance Sheet
27,Pensionand Other Post Retirement Benefit Plans Current,2900000.0,Balance Sheet
28,Payables,75480000.0,Balance Sheet
29,Accounts Payable,75480000.0,Balance Sheet
30,Total Assets,120485000.0,Balance Sheet
31,Total Non Current Assets,6539000.0,Balance Sheet
32,Other Non Current Assets,-6000.0,Balance Sheet
33,Non Current Prepaid Assets,2732000.0,Balance Sheet
34,Investmentin Financial Assets,1435000.0,Balance Sheet
35,Available For Sale Securities,1435000.0,Balance Sheet
36,Long Term Equity Investment,0.0,Balance Sheet
37,Investmentsin Subsidiariesat Cost,0.0,Balance Sheet
38,Goodwill And Other Intangible Assets,1000.0,Balance Sheet
39,Other Intangible Assets,1000.0,Balance Sheet
40,Net PPE,135000.0,Balance Sheet
41,Accumulated Depreciation,-11894000.0,Balance Sheet
42,Gross PPE,12029000.0,Balance Sheet
43,Machinery Furniture Equipment,12029000.0,Balance Sheet
44,Buildings And Improvements,0.0,Balance Sheet
45,Land And Improvements,0.0,Balance Sheet
46,Properties,0.0,Balance Sheet
47,Current Assets,113946000.0,Balance Sheet
48,Prepaid Assets,0.0,Balance Sheet
49,Other Receivables,65839000.0,Balance Sheet
50,Taxes Receivable,11310000.0,Balance Sheet
51,Accounts Receivable,23843000.0,Balance Sheet
52,Allowance For Doubtful Accounts Receivable,-52694000.0,Balance Sheet
53,Gross Accounts Receivable,76537000.0,Balance Sheet
54,Cash Cash Equivalents And Short Term Investments,12954000.0,Balance Sheet
55,Cash And Cash Equivalents,12954000.0,Balance Sheet
56,Cash Financial,12954000.0,Balance Sheet
0,Free Cash Flow,15447000.0,Cash Flow
1,Repayment Of Debt,0.0,Cash Flow
2,Capital Expenditure,-56000.0,Cash Flow
3,End Cash Position,12954000.0,Cash Flow
4,Beginning Cash Position,268000.0,Cash Flow
5,Changes In Cash,12686000.0,Cash Flow
6,Financing Cash Flow,-2761000.0,Cash Flow
7,Interest Paid Cff,-2761000.0,Cash Flow
8,Net Issuance Payments Of Debt,0.0,Cash Flow
9,Net Long Term Debt Issuance,0.0,Cash Flow
10,Long Term Debt Payments,0.0,Cash Flow
11,Investing Cash Flow,-56000.0,Cash Flow
12,Interest Received Cfi,0.0,Cash Flow
13,Net PPE Purchase And Sale,-56000.0,Cash Flow
14,Purchase Of PPE,-56000.0,Cash Flow
15,Operating Cash Flow,15503000.0,Cash Flow
16,Taxes Refund Paid,0.0,Cash Flow
17,Change In Working Capital,41557000.0,Cash Flow
18,Change In Other Current Liabilities,25281000.0,Cash Flow
19,Change In Other Current Assets,3472000.0,Cash Flow
20,Change In Payable,2985000.0,Cash Flow
21,Change In Receivables,8717000.0,Cash Flow
22,Other Non Cash Items,2761000.0,Cash Flow
23,Provisionand Write Offof Assets,17640000.0,Cash Flow
24,Depreciation And Amortization,55000.0,Cash Flow
25,Depreciation,55000.0,Cash Flow
26,Net Income From Continuing Operations,-46510000.0,Cash Flow
