,2022-03-31,2021-03-31,2020-03-31
Other Properties,15309800000.0,13078100000.0,
Machinery Furniture Equipment,17706100000.0,14878000000.0,14493900000.0
Buildings And Improvements,2299500000.0,2115800000.0,2001900000.0
Land And Improvements,5564700000.0,5825600000.0,5826100000.0
Properties,0.0,0.0,0.0
Current Assets,19082400000.0,20354900000.0,19303500000.0
Other Current Assets,436400000.0,1116800000.0,
Assets Held For Sale Current,277900000.0,800000.0,800000.0
Restricted Cash,17900000.0,14200000.0,6400000.0
Prepaid Assets,380200000.0,274800000.0,104600000.0
Inventory,12423900000.0,13749500000.0,13291900000.0
Other Inventories,,,275200000.0
Finished Goods,11141700000.0,13037300000.0,12589400000.0
Work In Process,142800000.0,130500000.0,127100000.0
Raw Materials,1139400000.0,581700000.0,575400000.0
Other Receivables,290400000.0,1280500000.0,950500000.0
Accounts Receivable,1665400000.0,1152600000.0,1697900000.0
Allowance For Doubtful Accounts Receivable,,0.0,-4500000.0
Gross Accounts Receivable,1665400000.0,1152600000.0,1702400000.0
Cash Cash Equivalents And Short Term Investments,4026700000.0,3882500000.0,3251400000.0
Other Short Term Investments,3080600000.0,3169600000.0,2586700000.0
Cash And Cash Equivalents,946100000.0,712900000.0,664700000.0
Cash Financial,946100000.0,712900000.0,664700000.0
Free Cash Flow,2339300000.0,2736600000.0,-179300000.0
Capital Expenditure,-3334000000.0,-718800000.0,-903700000.0
End Cash Position,946100000.0,712900000.0,664700000.0
Beginning Cash Position,712900000.0,530000000.0,280300000.0
Changes In Cash,233200000.0,182900000.0,384400000.0
Financing Cash Flow,-2171200000.0,-3643800000.0,1452500000.0
Net Other Financing Charges,,,-59900000.0
Interest Paid Cff,-291700000.0,-451000000.0,-523400000.0
Cash Dividends Paid,-485600000.0,,-291400000.0
Common Stock Dividend Paid,,,-291400000.0
Net Issuance Payments Of Debt,-1393900000.0,-3192800000.0,2327200000.0
Net Short Term Debt Issuance,-2499600000.0,-789300000.0,2512100000.0
Net Long Term Debt Issuance,1105700000.0,-2403500000.0,-184900000.0
Investing Cash Flow,-3268900000.0,371300000.0,-1792500000.0
Interest Received Cfi,20300000.0,12600000.0,70800000.0
Dividends Received Cfi,10100000.0,0.0,7900000.0
Net Investment Purchase And Sale,34700000.0,1077500000.0,-967500000.0
Net PPE Purchase And Sale,-3334000000.0,-718800000.0,-903700000.0
Purchase Of PPE,-3334000000.0,-718800000.0,-903700000.0
Operating Cash Flow,5673300000.0,3455400000.0,724400000.0
Taxes Refund Paid,-565400000.0,-73900000.0,-445600000.0
Change In Working Capital,1531700000.0,-1313200000.0,-2256100000.0
Change In Payable,-407300000.0,-899600000.0,10700000.0
Change In Inventory,1333200000.0,-482300000.0,-2341200000.0
Change In Receivables,605800000.0,68700000.0,74400000.0
Other Non Cash Items,272600000.0,356700000.0,434500000.0
Provisionand Write Offof Assets,-1600000.0,20900000.0,0.0
Depreciation And Amortization,947100000.0,955500000.0,572300000.0
Amortization Cash Flow,900000.0,,
Depreciation,946200000.0,955500000.0,572300000.0
Gain Loss On Investment Securities,-113400000.0,-172500000.0,-69000000.0
Gain Loss On Sale Of PPE,30100000.0,1200000.0,12500000.0
Net Income From Continuing Operations,3796300000.0,3679400000.0,2474700000.0
