,2022-03-31,2021-03-31,2020-03-31
Common Stock Payments,,-1850000.0,0.0
Common Stock Issuance,2715250000.0,331250000.0,0.0
Net Issuance Payments Of Debt,1020800000.0,-155130000.0,-431710000.0
Net Short Term Debt Issuance,1309140000.0,-133130000.0,-287940000.0
Short Term Debt Payments,,-871430000.0,-625750000.0
Short Term Debt Issuance,1309140000.0,738300000.0,337810000.0
Net Long Term Debt Issuance,-288340000.0,-22000000.0,-143770000.0
Long Term Debt Payments,-288340000.0,-241840000.0,-242770000.0
Long Term Debt Issuance,,219840000.0,99000000.0
Investing Cash Flow,-3991630000.0,-1123220000.0,-490660000.0
Interest Received Cfi,11570000.0,11730000.0,4130000.0
Dividends Received Cfi,170000.0,3920000.0,3700000.0
Net Investment Purchase And Sale,8270000.0,-64180000.0,-19620000.0
Sale Of Investment,102680000.0,1230000.0,1240000.0
Purchase Of Investment,-94410000.0,-65410000.0,-20860000.0
Net Business Purchase And Sale,-3110640000.0,-887410000.0,
Purchase Of Business,-3110640000.0,-887410000.0,
Net PPE Purchase And Sale,3810000.0,6540000.0,5490000.0
Sale Of PPE,3810000.0,6540000.0,5490000.0
Capital Expenditure Reported,-904810000.0,-193820000.0,-484360000.0
Operating Cash Flow,-126320000.0,371140000.0,1557940000.0
Taxes Refund Paid,-288950000.0,-220280000.0,-207120000.0
Change In Working Capital,-1212180000.0,-498440000.0,300920000.0
Change In Other Current Liabilities,205510000.0,40590000.0,177410000.0
Change In Other Current Assets,-198950000.0,-97640000.0,-45970000.0
Change In Payable,506480000.0,183090000.0,108100000.0
Change In Inventory,-1124250000.0,-369530000.0,8160000.0
Change In Receivables,-617390000.0,-268680000.0,30230000.0
Other Non Cash Items,29850000.0,48000000.0,109230000.0
Stock Based Compensation,35070000.0,,
Provisionand Write Offof Assets,13430000.0,-1270000.0,8590000.0
Depreciation And Amortization,249380000.0,227520000.0,190800000.0
Depreciation,249380000.0,227520000.0,190800000.0
Gain Loss On Investment Securities,-31190000.0,-30020000.0,-18820000.0
Net Foreign Currency Exchange Gain Loss,-29820000.0,-22900000.0,-13540000.0
Gain Loss On Sale Of PPE,330000.0,-640000.0,-1710000.0
Net Income From Continuing Operations,1107760000.0,869070000.0,1133600000.0
