,2022-03-31,2021-03-31,2020-03-31
Working Capital,241887000.0,206965682.0,185322217.0
Net Tangible Assets,242985000.0,228331363.0,207746321.0
Capital Lease Obligations,781000.0,,
Common Stock Equity,250020000.0,233956987.0,208392316.0
Total Capitalization,484594000.0,395134965.0,266269755.0
Total Equity Gross Minority Interest,250390000.0,234652688.0,208392316.0
Minority Interest,370000.0,695701.0,
Stockholders Equity,250020000.0,233956987.0,208392316.0
Retained Earnings,131632000.0,112976525.0,90004316.0
Additional Paid In Capital,17928000.0,20528000.0,68158000.0
Capital Stock,100460000.0,100460000.0,50230000.0
Common Stock,100460000.0,100460000.0,50230000.0
Total Liabilities Net Minority Interest,665064000.0,572917621.0,296911176.0
Total Non Current Liabilities Net Minority Interest,247642000.0,161177977.0,57877439.0
Other Non Current Liabilities,-1000.0,-1.0,
Non Current Pension And Other Postretirement Benefit Plans,370000.0,,
Non Current Deferred Taxes Liabilities,12000000.0,,
Long Term Debt And Capital Lease Obligation,235273000.0,161177978.0,57877439.0
Long Term Capital Lease Obligation,699000.0,,
Long Term Debt,234574000.0,161177978.0,57877439.0
Current Liabilities,417422000.0,411739644.0,239033737.0
Other Current Liabilities,2186000.0,2172370.0,628467.0
Current Deferred Taxes Liabilities,,9658397.0,2737730.0
Current Debt And Capital Lease Obligation,171626000.0,197676503.0,109864390.0
Current Capital Lease Obligation,82000.0,,
Current Debt,171544000.0,197676503.0,109864390.0
Pensionand Other Post Retirement Benefit Plans Current,144000.0,,
Current Provisions,4426000.0,,
Payables,192147000.0,195211651.0,122425522.0
Other Payable,17196000.0,24357126.0,11436330.0
Accounts Payable,174951000.0,170854525.0,110989192.0
Total Assets,915454000.0,807570309.0,505303492.0
Total Non Current Assets,256145000.0,188864984.0,80943789.0
Other Non Current Assets,1293000.0,2735347.0,4149118.0
Non Current Prepaid Assets,4345000.0,,2363270.0
Non Current Deferred Taxes Assets,2244000.0,1875149.0,1212982.0
Investmentin Financial Assets,37576000.0,0.0,
Available For Sale Securities,37576000.0,,
Goodwill And Other Intangible Assets,7035000.0,5625624.0,645995.0
Other Intangible Assets,7035000.0,,645995.0
Net PPE,198706000.0,174324194.0,72572424.0
Accumulated Depreciation,-37812000.0,,-36326206.0
Gross PPE,236518000.0,174324194.0,108898630.0
Construction In Progress,2796000.0,863046.0,5884408.0
Other Properties,12499000.0,173461148.0,1979569.0
Machinery Furniture Equipment,91407000.0,,83020075.0
Buildings And Improvements,11543000.0,,5170028.0
Land And Improvements,118273000.0,,12844550.0
Properties,0.0,,0.0
Current Assets,659309000.0,618705326.0,424355954.0
Other Current Assets,1000.0,,-1.0
Prepaid Assets,81724000.0,2154121.0,66270857.0
Inventory,276922000.0,200115545.0,130187539.0
Finished Goods,151625000.0,97123388.0,71603146.0
Work In Process,44399000.0,34690514.0,32546885.0
Raw Materials,80898000.0,68301643.0,26037508.0
Other Receivables,24853000.0,74043813.0,1953991.0
Accounts Receivable,274506000.0,314750261.0,201885050.0
Allowance For Doubtful Accounts Receivable,-217000.0,0.0,
Gross Accounts Receivable,274723000.0,314750261.0,
Cash Cash Equivalents And Short Term Investments,1303000.0,27641586.0,24058518.0
Cash And Cash Equivalents,1303000.0,27641586.0,24058518.0
Cash Equivalents,,26161296.0,22541153.0
Cash Financial,1303000.0,1480290.0,1517365.0
Free Cash Flow,-18208000.0,-162925855.0,-34182101.0
Issuance Of Capital Stock,,5145000.0,
Capital Expenditure,-54835000.0,-120659618.0,-29455097.0
End Cash Position,31159000.0,27641585.0,24058518.0
Other Cash Adjustment Outside Changein Cash,1000.0,-1.0,-1.0
Beginning Cash Position,26412000.0,24058519.0,14561526.0
Changes In Cash,4746000.0,3583067.0,9496993.0
Financing Cash Flow,22954000.0,166508922.0,43679094.0
Net Other Financing Charges,16155000.0,1187047.0,1275100.0
Interest Paid Cff,-35300000.0,-23391273.0,-15958922.0
Cash Dividends Paid,-10055000.0,-7544504.0,-3031833.0
Common Stock Dividend Paid,-10055000.0,-7544504.0,-3031833.0
Net Common Stock Issuance,,5145000.0,
Common Stock Issuance,,5145000.0,
Net Issuance Payments Of Debt,52100000.0,191112652.0,61394749.0
Net Short Term Debt Issuance,-24633000.0,87812113.0,-1480571.0
Net Long Term Debt Issuance,76733000.0,103300539.0,62875320.0
Investing Cash Flow,-54835000.0,-120659618.0,-29455097.0
Net Business Purchase And Sale,,0.0,
Purchase Of Business,,0.0,
Net PPE Purchase And Sale,-54835000.0,-120659618.0,-29455097.0
Purchase Of PPE,-54835000.0,-120659618.0,-29455097.0
Capital Expenditure Reported,,,-29455097.0
Operating Cash Flow,36627000.0,-42266237.0,-4727004.0
Taxes Refund Paid,-15264000.0,-5449146.0,-10312485.0
Change In Working Capital,-35498000.0,-113320806.0,-51526161.0
Change In Other Current Liabilities,38151000.0,18107794.0,2873044.0
Change In Other Current Assets,-28385000.0,-1374146.0,1584389.0
Change In Payable,-2180000.0,59865333.0,37661116.0
Change In Inventory,-75295000.0,-69928007.0,-48613561.0
Change In Receivables,31697000.0,-119991780.0,-45031149.0
Other Non Cash Items,34249000.0,22204226.0,14683822.0
Provisionand Write Offof Assets,,0.0,46920.0
Depreciation And Amortization,22378000.0,13931966.0,9441632.0
Depreciation,22378000.0,13931966.0,9441632.0
Net Foreign Currency Exchange Gain Loss,-15105000.0,,
Net Income From Continuing Operations,45868000.0,40367522.0,32939268.0
