,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
48,Accounts Receivable,419389245.0,354602688.0,Balance Sheet
49,Cash Cash Equivalents And Short Term Investments,94621621.0,375280543.0,Balance Sheet
50,Cash And Cash Equivalents,94621621.0,375280543.0,Balance Sheet
51,Cash Equivalents,93589213.0,374301466.0,Balance Sheet
52,Cash Financial,1032408.0,979077.17,Balance Sheet
0,Free Cash Flow,-288312048.0,25320298.0,Cash Flow
1,Repayment Of Debt,-243187454.0,,Cash Flow
2,Issuance Of Debt,,103281874.0,Cash Flow
3,Issuance Of Capital Stock,0.0,,Cash Flow
4,Capital Expenditure,-1527250.0,-124375.0,Cash Flow
5,End Cash Position,94621622.0,375280543.0,Cash Flow
6,Other Cash Adjustment Outside Changein Cash,-1000.0,4.0,Cash Flow
7,Beginning Cash Position,375280543.0,228926927.0,Cash Flow
8,Changes In Cash,-280658921.0,146353612.0,Cash Flow
9,Financing Cash Flow,-280795705.0,103281874.0,Cash Flow
10,Interest Paid Cff,-37608251.0,,Cash Flow
11,Net Common Stock Issuance,0.0,,Cash Flow
12,Common Stock Issuance,0.0,,Cash Flow
13,Net Issuance Payments Of Debt,-243187454.0,103281874.0,Cash Flow
14,Net Short Term Debt Issuance,-243187454.0,103281874.0,Cash Flow
15,Short Term Debt Payments,-243187454.0,,Cash Flow
16,Short Term Debt Issuance,,103281874.0,Cash Flow
17,Investing Cash Flow,286921582.0,17627065.0,Cash Flow
18,Interest Received Cfi,14393205.0,,Cash Flow
19,Net Investment Purchase And Sale,274055627.0,,Cash Flow
20,Net PPE Purchase And Sale,-1527250.0,17627065.0,Cash Flow
21,Sale Of PPE,,17751440.0,Cash Flow
22,Purchase Of PPE,-1527250.0,-124375.0,Cash Flow
23,Capital Expenditure Reported,,-124375.0,Cash Flow
24,Operating Cash Flow,-286784798.0,25444673.0,Cash Flow
25,Taxes Refund Paid,-15394191.0,-17900927.0,Cash Flow
26,Interest Paid Cfo,-37415000.0,-37090721.0,Cash Flow
27,Change In Working Capital,-364918928.0,-28240721.0,Cash Flow
28,Change In Payable,-349517649.0,30025547.0,Cash Flow
29,Change In Inventory,36749764.0,192305962.0,Cash Flow
30,Change In Receivables,-52151043.0,-250572230.0,Cash Flow
31,Other Non Cash Items,37608251.0,37090721.0,Cash Flow
32,Provisionand Write Offof Assets,-4314.0,,Cash Flow
33,Deferred Tax,-20748.0,17869154.0,Cash Flow
34,Depreciation And Amortization,284856.0,246355.0,Cash Flow
35,Depreciation,284856.0,246355.0,Cash Flow
36,Net Foreign Currency Exchange Gain Loss,-2103548.0,,Cash Flow
37,Net Income From Continuing Operations,57763824.0,53470812.0,Cash Flow
