,2021-03-31,2020-03-31
Other Non Current Assets,42243000.0,131942000.0
Non Current Prepaid Assets,3978000.0,7028000.0
Investmentin Financial Assets,11908000.0,22553000.0
Available For Sale Securities,11908000.0,22553000.0
Long Term Equity Investment,0.0,
Investmentsin Subsidiariesat Cost,0.0,
Goodwill And Other Intangible Assets,1117076000.0,1118129000.0
Other Intangible Assets,1117076000.0,1118129000.0
Net PPE,77692000.0,81208000.0
Accumulated Depreciation,-33003000.0,-29405000.0
Gross PPE,110695000.0,110613000.0
Machinery Furniture Equipment,19286000.0,19204000.0
Land And Improvements,91409000.0,91409000.0
Properties,0.0,0.0
Current Assets,153013000.0,314158000.0
Other Current Assets,6428000.0,
Restricted Cash,21440000.0,21480000.0
Prepaid Assets,6415000.0,11666000.0
Inventory,107494000.0,239812000.0
Other Inventories,28782000.0,28890000.0
Finished Goods,6877000.0,133627000.0
Work In Process,7587000.0,8376000.0
Raw Materials,64248000.0,68919000.0
Other Receivables,3055000.0,2036000.0
Accounts Receivable,3011000.0,30000000.0
Allowance For Doubtful Accounts Receivable,-8832000.0,-6804000.0
Gross Accounts Receivable,11843000.0,36804000.0
Cash Cash Equivalents And Short Term Investments,11598000.0,9164000.0
Other Short Term Investments,24482000.0,
Cash And Cash Equivalents,11598000.0,9164000.0
Cash Financial,11598000.0,9164000.0
Free Cash Flow,-1586000.0,207505000.0
Repayment Of Debt,0.0,-127571000.0
Issuance Of Debt,0.0,20000000.0
Capital Expenditure,-82000.0,
End Cash Position,11598000.0,9164000.0
Beginning Cash Position,9164000.0,3523000.0
Changes In Cash,2434000.0,5641000.0
Financing Cash Flow,0.0,-260452000.0
Interest Paid Cff,0.0,-152881000.0
Net Issuance Payments Of Debt,0.0,-107571000.0
Net Short Term Debt Issuance,0.0,20000000.0
Short Term Debt Issuance,0.0,20000000.0
Net Long Term Debt Issuance,0.0,-127571000.0
Long Term Debt Payments,0.0,-127571000.0
Investing Cash Flow,3938000.0,58588000.0
Interest Received Cfi,1348000.0,1337000.0
Dividends Received Cfi,356000.0,2322000.0
Net Investment Purchase And Sale,0.0,46179000.0
Sale Of Investment,0.0,46179000.0
Net PPE Purchase And Sale,2234000.0,8750000.0
Sale Of PPE,2316000.0,8750000.0
Purchase Of PPE,-82000.0,
Operating Cash Flow,-1504000.0,207505000.0
Taxes Refund Paid,-2944000.0,-3538000.0
Change In Working Capital,-140373000.0,412060000.0
Change In Other Current Liabilities,-393920000.0,566896000.0
Change In Other Current Assets,89354000.0,-27447000.0
Change In Payable,11139000.0,-240352000.0
Change In Inventory,132318000.0,86235000.0
Change In Receivables,24961000.0,35930000.0
Other Non Cash Items,30024000.0,-189996000.0
Provisionand Write Offof Assets,2028000.0,7059000.0
Depreciation And Amortization,4651000.0,10118000.0
Depreciation,4651000.0,10118000.0
Gain Loss On Investment Securities,-356000.0,-2322000.0
Net Foreign Currency Exchange Gain Loss,,0.0
Gain Loss On Sale Of PPE,-2316000.0,-8591000.0
Net Income From Continuing Operations,76336000.0,-22106000.0
