,item,2021-12-31 00:00:00,2020-12-31 00:00:00,sheet,2019-12-31 00:00:00
48,Construction In Progress,1183300000.0,323600000.0,Balance Sheet,566900000.0
49,Other Properties,,6210700000.0,Balance Sheet,
50,Machinery Furniture Equipment,6664900000.0,6349700000.0,Balance Sheet,5425300000.0
51,Buildings And Improvements,2649700000.0,2196600000.0,Balance Sheet,1661300000.0
52,Land And Improvements,232400000.0,232400000.0,Balance Sheet,232400000.0
53,Properties,0.0,0.0,Balance Sheet,0.0
54,Current Assets,26812700000.0,27739600000.0,Balance Sheet,27848800000.0
55,Other Current Assets,,2488300000.0,Balance Sheet,
56,Hedging Assets Current,106200000.0,367400000.0,Balance Sheet,243000000.0
57,Prepaid Assets,3234300000.0,1313600000.0,Balance Sheet,634800000.0
58,Inventory,7072500000.0,4950800000.0,Balance Sheet,4932000000.0
59,Finished Goods,616000000.0,110000000.0,Balance Sheet,126400000.0
60,Work In Process,2883400000.0,2117900000.0,Balance Sheet,1464200000.0
61,Raw Materials,3573100000.0,2722900000.0,Balance Sheet,3341400000.0
62,Other Receivables,2102200000.0,2073300000.0,Balance Sheet,2330100000.0
63,Accounts Receivable,13438100000.0,15845000000.0,Balance Sheet,17828500000.0
64,Allowance For Doubtful Accounts Receivable,-1322200000.0,-1214600000.0,Balance Sheet,-1079100000.0
65,Gross Accounts Receivable,14760300000.0,17059600000.0,Balance Sheet,18907600000.0
66,Cash Cash Equivalents And Short Term Investments,859400000.0,3189500000.0,Balance Sheet,1880400000.0
67,Other Short Term Investments,400000.0,1206300000.0,Balance Sheet,
68,Cash And Cash Equivalents,859000000.0,3189500000.0,Balance Sheet,1880400000.0
69,Cash Financial,859000000.0,3189500000.0,Balance Sheet,1880400000.0
0,Free Cash Flow,-2946900000.0,5182500000.0,Cash Flow,
1,Repayment Of Debt,,-15976200000.0,Cash Flow,
2,Issuance Of Debt,,12500000000.0,Cash Flow,
3,Capital Expenditure,-1680000000.0,-914700000.0,Cash Flow,
4,End Cash Position,859000000.0,3189500000.0,Cash Flow,
5,Beginning Cash Position,3189500000.0,1880400000.0,Cash Flow,
6,Changes In Cash,-2330500000.0,1309100000.0,Cash Flow,
7,Financing Cash Flow,605900000.0,-3898200000.0,Cash Flow,
8,Interest Paid Cff,-413800000.0,-326700000.0,Cash Flow,
9,Cash Dividends Paid,-84400000.0,,Cash Flow,
10,Common Stock Dividend Paid,-84400000.0,,Cash Flow,
11,Net Issuance Payments Of Debt,1250000000.0,-3476200000.0,Cash Flow,
12,Net Short Term Debt Issuance,1250000000.0,-3476200000.0,Cash Flow,
13,Short Term Debt Payments,,-15976200000.0,Cash Flow,
14,Short Term Debt Issuance,,12500000000.0,Cash Flow,
15,Investing Cash Flow,-1669500000.0,-889900000.0,Cash Flow,
16,Interest Received Cfi,5100000.0,15600000.0,Cash Flow,
17,Net Intangibles Purchase And Sale,-6100000.0,-7800000.0,Cash Flow,
18,Purchase Of Intangibles,-6100000.0,-7800000.0,Cash Flow,
19,Net PPE Purchase And Sale,-1668500000.0,-897700000.0,Cash Flow,
20,Sale Of PPE,5400000.0,9200000.0,Cash Flow,
21,Purchase Of PPE,-1673900000.0,-906900000.0,Cash Flow,
22,Operating Cash Flow,-1266900000.0,6097200000.0,Cash Flow,
23,Taxes Refund Paid,-928300000.0,-347700000.0,Cash Flow,
24,Change In Working Capital,-4447000000.0,3681200000.0,Cash Flow,
25,Change In Other Current Liabilities,-3452200000.0,690500000.0,Cash Flow,
26,Change In Other Current Assets,-30900000.0,141700000.0,Cash Flow,
27,Change In Payable,964400000.0,1919800000.0,Cash Flow,
28,Change In Inventory,-2121700000.0,-18800000.0,Cash Flow,
29,Change In Receivables,193400000.0,948000000.0,Cash Flow,
30,Other Non Cash Items,-10400000.0,188800000.0,Cash Flow,
31,Provisionand Write Offof Assets,260300000.0,454000000.0,Cash Flow,
32,Depreciation And Amortization,954600000.0,771700000.0,Cash Flow,
33,Depreciation,954600000.0,771700000.0,Cash Flow,
34,Gain Loss On Investment Securities,161800000.0,-107000000.0,Cash Flow,
35,Net Foreign Currency Exchange Gain Loss,-38000000.0,86900000.0,Cash Flow,
36,Gain Loss On Sale Of PPE,14200000.0,6500000.0,Cash Flow,
37,Net Income From Continuing Operations,2765900000.0,1362800000.0,Cash Flow,
