,2022-03-31,2021-03-31,2020-03-31
Purchase Of PPE,0.0,-95000.0,-284000.0
Operating Cash Flow,8922000.0,-164121000.0,40166000.0
Taxes Refund Paid,0.0,0.0,0.0
Change In Working Capital,55284000.0,-241714000.0,9321000.0
Change In Other Current Liabilities,16940000.0,-21038000.0,30833000.0
Change In Other Current Assets,15704000.0,-123635000.0,-31062000.0
Change In Payable,49655000.0,-31032000.0,-21733000.0
Change In Inventory,-4951000.0,25119000.0,-9344000.0
Change In Receivables,-23832000.0,-91106000.0,40255000.0
Other Non Cash Items,61523000.0,10493000.0,77794000.0
Provisionand Write Offof Assets,3284000.0,,
Depreciation And Amortization,17877000.0,35588000.0,65864000.0
Depreciation,17877000.0,35588000.0,65864000.0
Pension And Employee Benefit Expense,-1100000.0,,
Gain Loss On Investment Securities,-416000.0,-1000.0,308000.0
Net Foreign Currency Exchange Gain Loss,-1477000.0,21000.0,-272000.0
Gain Loss On Sale Of PPE,,0.0,-571000.0
Net Income From Continuing Operations,-126052000.0,31494000.0,-113136000.0
