,2022-03-31,2021-03-31,2020-03-31
Goodwill And Other Intangible Assets,7692002.0,2935472.0,3967657.0
Other Intangible Assets,7692002.0,2935472.0,3967657.0
Net PPE,9035138.0,9706330.0,11683392.0
Accumulated Depreciation,-14733674.0,-11420298.0,-8473389.0
Gross PPE,23768812.0,21126628.0,20156781.0
Other Properties,9036000.0,9707000.0,
Machinery Furniture Equipment,10105227.0,7463043.0,7128860.0
Buildings And Improvements,13663585.0,13663585.0,13027921.0
Properties,0.0,0.0,0.0
Current Assets,764252392.0,812930883.0,613065178.0
Other Current Assets,1.0,16954000.0,
Restricted Cash,1929718.0,1524964.0,935792.0
Prepaid Assets,37571942.0,12115402.0,16605578.0
Inventory,6289579.0,5882113.0,8800645.0
Finished Goods,6289579.0,5882113.0,8800645.0
Other Receivables,121783848.0,122966204.0,113599869.0
Accounts Receivable,585054467.0,667307268.0,470290981.0
Cash Cash Equivalents And Short Term Investments,11622837.0,3134932.0,2832313.0
Other Short Term Investments,120534000.0,119653000.0,
Cash And Cash Equivalents,11622837.0,3134932.0,2832313.0
Cash Financial,11622837.0,3134932.0,2832313.0
Free Cash Flow,4537660.0,18851074.0,31662335.0
Repurchase Of Capital Stock,-1045000.0,,
Capital Expenditure,-8648398.0,-1260088.0,-526045.0
End Cash Position,13552555.0,4659896.0,3768105.0
Other Cash Adjustment Outside Changein Cash,-2000.0,,
Beginning Cash Position,4659896.0,3768105.0,3162513.0
Changes In Cash,8892659.0,891791.0,605592.0
Financing Cash Flow,4174783.0,-18116180.0,-31389579.0
Net Other Financing Charges,2000.0,,-380760.0
Interest Paid Cff,-24396639.0,-26170986.0,-24909621.0
Net Common Stock Issuance,-1045000.0,,
Common Stock Payments,-1045000.0,,
Net Issuance Payments Of Debt,31880019.0,9375602.0,-4398174.0
Net Short Term Debt Issuance,50698893.0,-13134.0,1751391.0
Net Long Term Debt Issuance,-18818874.0,9388736.0,-6149565.0
Investing Cash Flow,-8468182.0,-1103191.0,-193209.0
Interest Received Cfi,180141.0,156897.0,159261.0
Dividends Received Cfi,75.0,0.0,173575.0
Net Investment Purchase And Sale,0.0,,
Purchase Of Investment,0.0,,
Net PPE Purchase And Sale,-8648398.0,-1260088.0,-526045.0
Purchase Of PPE,-8648398.0,-1260088.0,-526045.0
Capital Expenditure Reported,,,-526045.0
Operating Cash Flow,13186058.0,20111162.0,32188380.0
Taxes Refund Paid,-8278314.0,-631136.0,-7244744.0
Change In Working Capital,-51522030.0,-27779991.0,-19146379.0
Change In Other Current Liabilities,,4595000.0,
Change In Other Current Assets,-10928815.0,5448538.0,8653176.0
Change In Payable,-121085231.0,170544906.0,-27945881.0
Change In Inventory,-407466.0,2918532.0,1012089.0
Change In Receivables,82252801.0,-215223287.0,-10444810.0
Other Non Cash Items,11139707.0,12000715.0,11736968.0
Depreciation And Amortization,4563055.0,4269335.0,4384703.0
Depreciation,4563055.0,4269335.0,4384703.0
Gain Loss On Investment Securities,-75.0,,-255.0
Net Income From Continuing Operations,57283715.0,14045239.0,791053.0
