,item,2023-03-31 00:00:00,2022-03-31 00:00:00,sheet,2021-03-31 00:00:00
45,Total Revenue,70226100000.0,55872000000.0,Income Statement,
46,Operating Revenue,70226100000.0,55872000000.0,Income Statement,
0,Ordinary Shares Number,,4421107931.0,Balance Sheet,4421107931.0
1,Share Issued,,4421107931.0,Balance Sheet,4421107931.0
2,Net Debt,457300000.0,,Balance Sheet,3250000.0
3,Total Debt,3726100000.0,2828000000.0,Balance Sheet,3530000.0
4,Tangible Book Value,13304600000.0,11146000000.0,Balance Sheet,-3610000.0
5,Invested Capital,14122700000.0,11339000000.0,Balance Sheet,-80000.0
6,Working Capital,8485300000.0,7776000000.0,Balance Sheet,-3620000.0
7,Net Tangible Assets,13304600000.0,11146000000.0,Balance Sheet,-3610000.0
8,Capital Lease Obligations,2908000000.0,2635000000.0,Balance Sheet,
9,Common Stock Equity,13304600000.0,11146000000.0,Balance Sheet,-3610000.0
10,Total Capitalization,13382700000.0,11146000000.0,Balance Sheet,-3610000.0
11,Total Equity Gross Minority Interest,13304600000.0,11146000000.0,Balance Sheet,-3610000.0
12,Stockholders Equity,13304600000.0,11146000000.0,Balance Sheet,-3610000.0
13,Retained Earnings,,4045000000.0,Balance Sheet,-4110000.0
14,Capital Stock,4421100000.0,3158000000.0,Balance Sheet,500000.0
15,Common Stock,4421100000.0,3158000000.0,Balance Sheet,500000.0
16,Total Liabilities Net Minority Interest,15671900000.0,14471000000.0,Balance Sheet,3980000.0
17,Total Non Current Liabilities Net Minority Interest,2792600000.0,2520000000.0,Balance Sheet,0.0
18,Non Current Pension And Other Postretirement Benefit Plans,196500000.0,167000000.0,Balance Sheet,
19,Non Current Deferred Revenue,140600000.0,167000000.0,Balance Sheet,
20,Long Term Debt And Capital Lease Obligation,2352500000.0,2097000000.0,Balance Sheet,
21,Long Term Capital Lease Obligation,2274400000.0,2097000000.0,Balance Sheet,
22,Long Term Debt,78100000.0,0.0,Balance Sheet,
23,Current Liabilities,12879300000.0,11951000000.0,Balance Sheet,3980000.0
24,Other Current Liabilities,634800000.0,418000000.0,Balance Sheet,30000.0
25,Current Debt And Capital Lease Obligation,1373600000.0,731000000.0,Balance Sheet,3530000.0
26,Current Capital Lease Obligation,633600000.0,538000000.0,Balance Sheet,
27,Current Debt,740000000.0,193000000.0,Balance Sheet,3530000.0
28,Pensionand Other Post Retirement Benefit Plans Current,457400000.0,558000000.0,Balance Sheet,
29,Current Provisions,13400000.0,12000000.0,Balance Sheet,
30,Payables,9257200000.0,10037000000.0,Balance Sheet,420000.0
31,Other Payable,,908000000.0,Balance Sheet,80000.0
32,Accounts Payable,9257200000.0,9129000000.0,Balance Sheet,340000.0
33,Total Assets,28976500000.0,25617000000.0,Balance Sheet,370000.0
34,Total Non Current Assets,7611900000.0,5890000000.0,Balance Sheet,10000.0
35,Other Non Current Assets,466800000.0,155100000.0,Balance Sheet,
36,Non Current Prepaid Assets,,395000000.0,Balance Sheet,10000.0
37,Non Current Deferred Taxes Assets,411200000.0,403000000.0,Balance Sheet,
38,Investmentin Financial Assets,407400000.0,0.0,Balance Sheet,
39,Available For Sale Securities,407400000.0,318500000.0,Balance Sheet,
40,Net PPE,6062300000.0,4644000000.0,Balance Sheet,
41,Accumulated Depreciation,,-3493000000.0,Balance Sheet,
42,Gross PPE,6062300000.0,8137000000.0,Balance Sheet,
43,Construction In Progress,269900000.0,323000000.0,Balance Sheet,
44,Other Properties,5792400000.0,4321700000.0,Balance Sheet,
45,Machinery Furniture Equipment,,4794000000.0,Balance Sheet,
46,Buildings And Improvements,,3011000000.0,Balance Sheet,
47,Land And Improvements,,9000000.0,Balance Sheet,
48,Properties,,0.0,Balance Sheet,
49,Current Assets,21364600000.0,19727000000.0,Balance Sheet,360000.0
50,Other Current Assets,775900000.0,515700000.0,Balance Sheet,
51,Prepaid Assets,,427000000.0,Balance Sheet,80000.0
52,Inventory,12095800000.0,9600000000.0,Balance Sheet,
53,Finished Goods,,1194000000.0,Balance Sheet,
54,Work In Process,,1760000000.0,Balance Sheet,
55,Raw Materials,,6646000000.0,Balance Sheet,
56,Other Receivables,41300000.0,147000000.0,Balance Sheet,
57,Accounts Receivable,8004100000.0,6593000000.0,Balance Sheet,
58,Allowance For Doubtful Accounts Receivable,,0.0,Balance Sheet,
59,Gross Accounts Receivable,,6593000000.0,Balance Sheet,
60,Cash Cash Equivalents And Short Term Investments,447500000.0,2960000000.0,Balance Sheet,280000.0
61,Other Short Term Investments,86700000.0,27000000.0,Balance Sheet,
62,Cash And Cash Equivalents,360800000.0,2933000000.0,Balance Sheet,280000.0
63,Cash Equivalents,,2000000000.0,Balance Sheet,
64,Cash Financial,,933000000.0,Balance Sheet,280000.0
0,Free Cash Flow,250000000.0,3993000000.0,Cash Flow,
1,Repayment Of Debt,-90900000.0,-679000000.0,Cash Flow,
2,Issuance Of Debt,740000000.0,0.0,Cash Flow,
3,Issuance Of Capital Stock,,0.0,Cash Flow,
4,Capital Expenditure,-1985800000.0,-1014000000.0,Cash Flow,
5,End Cash Position,361000000.0,2933000000.0,Cash Flow,
6,Beginning Cash Position,2933100000.0,373000000.0,Cash Flow,
7,Changes In Cash,-2572100000.0,2560000000.0,Cash Flow,
8,Financing Cash Flow,-2871000000.0,-1439000000.0,Cash Flow,
9,Interest Paid Cff,-271900000.0,-310000000.0,Cash Flow,
10,Cash Dividends Paid,-2677200000.0,,Cash Flow,
11,Net Common Stock Issuance,,0.0,Cash Flow,
12,Common Stock Issuance,,0.0,Cash Flow,
13,Net Issuance Payments Of Debt,649100000.0,-679000000.0,Cash Flow,
14,Net Short Term Debt Issuance,649100000.0,-679000000.0,Cash Flow,
15,Short Term Debt Payments,-90900000.0,-679000000.0,Cash Flow,
16,Short Term Debt Issuance,740000000.0,0.0,Cash Flow,
17,Net Long Term Debt Issuance,,0.0,Cash Flow,
18,Long Term Debt Payments,,0.0,Cash Flow,
19,Investing Cash Flow,-1936900000.0,-1008000000.0,Cash Flow,
20,Interest Received Cfi,39900000.0,,Cash Flow,
21,Net PPE Purchase And Sale,-1976800000.0,-1008000000.0,Cash Flow,
22,Sale Of PPE,9000000.0,6000000.0,Cash Flow,
23,Purchase Of PPE,-1985800000.0,-1014000000.0,Cash Flow,
24,Operating Cash Flow,2235800000.0,5007000000.0,Cash Flow,
25,Taxes Refund Paid,-1775000000.0,-1962000000.0,Cash Flow,
26,Change In Working Capital,-3924500000.0,43000000.0,Cash Flow,
27,Change In Other Current Liabilities,137100000.0,78000000.0,Cash Flow,
28,Change In Other Current Assets,-176000000.0,-214000000.0,Cash Flow,
29,Change In Payable,72800000.0,1626000000.0,Cash Flow,
30,Change In Inventory,-2495900000.0,-1614000000.0,Cash Flow,
31,Change In Receivables,-1462500000.0,167000000.0,Cash Flow,
32,Other Non Cash Items,160500000.0,227000000.0,Cash Flow,
33,Provisionand Write Offof Assets,8300000.0,,Cash Flow,
34,Depreciation And Amortization,1236500000.0,1055000000.0,Cash Flow,
35,Depreciation,1236500000.0,1055000000.0,Cash Flow,
36,Net Foreign Currency Exchange Gain Loss,14500000.0,37000000.0,Cash Flow,
37,Gain Loss On Sale Of PPE,-6600000.0,-2000000.0,Cash Flow,
38,Net Income From Continuing Operations,6522100000.0,6263000000.0,Cash Flow,
