,2022-03-31,2021-03-31
Long Term Provisions,9046385.0,7746347.0
Current Liabilities,1074548917.0,934189890.0
Other Current Liabilities,16105598.0,20145997.0
Current Debt And Capital Lease Obligation,766908660.0,450254462.0
Current Debt,766908660.0,450254462.0
Current Provisions,54300.0,48036.0
Payables,23350670.0,62879882.0
Accounts Payable,23350670.0,62879882.0
Total Assets,5269287407.0,5354809771.0
Total Non Current Assets,5148179787.0,5205253669.0
Other Non Current Assets,159850763.0,152700000.0
Investmentin Financial Assets,44950042.0,29349242.0
Available For Sale Securities,44950042.0,29349242.0
Goodwill And Other Intangible Assets,5850230.0,5774168.0
Other Intangible Assets,5850230.0,5774168.0
Net PPE,4937528752.0,5017430259.0
Gross PPE,4937528752.0,5017430259.0
Construction In Progress,0.0,796714.0
Other Properties,4937528752.0,5016633545.0
Current Assets,121107621.0,149556102.0
Other Current Assets,16162221.0,26490510.0
Inventory,20062241.0,12749785.0
Other Receivables,4499.0,6333.0
Taxes Receivable,16248305.0,43840732.0
Accounts Receivable,59938484.0,59691089.0
Cash Cash Equivalents And Short Term Investments,8691871.0,6777653.0
Other Short Term Investments,573953.0,771216.0
Cash And Cash Equivalents,8117918.0,6006437.0
Free Cash Flow,-62379473.0,-2216690.0
Repayment Of Debt,-205198957.0,-61800000.0
Issuance Of Debt,433311791.0,157201496.0
Capital Expenditure,-83952542.0,-9698437.0
End Cash Position,8117918.0,6006437.0
Other Cash Adjustment Outside Changein Cash,1.0,
Beginning Cash Position,6006437.0,4676392.0
Changes In Cash,2111480.0,1330045.0
Financing Cash Flow,66819428.0,-4692329.0
Interest Paid Cff,-161293406.0,-100093825.0
Net Issuance Payments Of Debt,228112834.0,95401496.0
Net Short Term Debt Issuance,78811791.0,77201496.0
Short Term Debt Issuance,78811791.0,77201496.0
Net Long Term Debt Issuance,149301043.0,18200000.0
Long Term Debt Payments,-205198957.0,-61800000.0
Long Term Debt Issuance,354500000.0,80000000.0
Investing Cash Flow,-86281017.0,-1459373.0
Interest Received Cfi,617631.0,1019064.0
Net Investment Purchase And Sale,-3750000.0,7220000.0
Sale Of Investment,0.0,9220000.0
Purchase Of Investment,-3750000.0,-2000000.0
Net PPE Purchase And Sale,-83148648.0,-9698437.0
Sale Of PPE,803894.0,0.0
Purchase Of PPE,-83952542.0,-9698437.0
Operating Cash Flow,21573069.0,7481747.0
Taxes Refund Paid,37722946.0,31902090.0
Change In Working Capital,16444631.0,-26300861.0
Change In Other Current Liabilities,62017898.0,-34557938.0
Change In Other Current Assets,3957953.0,6405138.0
Change In Payable,-43526723.0,-21607138.0
Change In Inventory,-7312456.0,-374696.0
Change In Receivables,-245561.0,24759213.0
Other Non Cash Items,162651355.0,154082133.0
Depreciation And Amortization,159573503.0,162810247.0
Depreciation,159573503.0,162810247.0
Pension And Employee Benefit Expense,437761.0,337883.0
Gain Loss On Investment Securities,-12631228.0,24475500.0
Net Foreign Currency Exchange Gain Loss,4162365.0,-2720579.0
Gain Loss On Sale Of PPE,3400589.0,0.0
Net Income From Continuing Operations,-350024000.0,-335546693.0
