,item,2023-03-31 00:00:00,2022-03-31 00:00:00,sheet,2021-03-31 00:00:00
70,Cash Financial,,229800000.0,Balance Sheet,138700000.0
0,Free Cash Flow,1447900000.0,-4083700000.0,Cash Flow,
1,Repayment Of Debt,-634400000.0,-475700000.0,Cash Flow,
2,Issuance Of Debt,1400000000.0,842500000.0,Cash Flow,
3,Issuance Of Capital Stock,0.0,0.0,Cash Flow,
4,Capital Expenditure,-2099100000.0,-1619000000.0,Cash Flow,
5,End Cash Position,1040500000.0,229800000.0,Cash Flow,
6,Other Cash Adjustment Outside Changein Cash,,138700000.0,Cash Flow,
7,Beginning Cash Position,229700000.0,,Cash Flow,
8,Changes In Cash,810800000.0,91100000.0,Cash Flow,
9,Financing Cash Flow,-781200000.0,3938700000.0,Cash Flow,
10,Interest Paid Cff,-467700000.0,-327700000.0,Cash Flow,
11,Net Common Stock Issuance,0.0,0.0,Cash Flow,
12,Common Stock Issuance,0.0,0.0,Cash Flow,
13,Net Issuance Payments Of Debt,-278900000.0,4291800000.0,Cash Flow,
14,Net Short Term Debt Issuance,-1044500000.0,3925000000.0,Cash Flow,
15,Net Long Term Debt Issuance,765600000.0,366800000.0,Cash Flow,
16,Long Term Debt Payments,-634400000.0,-475700000.0,Cash Flow,
17,Long Term Debt Issuance,1400000000.0,842500000.0,Cash Flow,
18,Investing Cash Flow,-1955000000.0,-1382900000.0,Cash Flow,
19,Interest Received Cfi,2900000.0,21300000.0,Cash Flow,
20,Net Investment Purchase And Sale,-16300000.0,-10400000.0,Cash Flow,
21,Sale Of Investment,0.0,1800000.0,Cash Flow,
22,Purchase Of Investment,-16300000.0,-12200000.0,Cash Flow,
23,Net Business Purchase And Sale,0.0,,Cash Flow,
24,Purchase Of Business,0.0,,Cash Flow,
25,Net PPE Purchase And Sale,-1967600000.0,-1429100000.0,Cash Flow,
26,Sale Of PPE,131500000.0,189900000.0,Cash Flow,
27,Purchase Of PPE,-2099100000.0,-1619000000.0,Cash Flow,
28,Operating Cash Flow,3547000000.0,-2464700000.0,Cash Flow,
29,Taxes Refund Paid,-226300000.0,-225600000.0,Cash Flow,
30,Change In Working Capital,1797400000.0,-4133700000.0,Cash Flow,
31,Change In Other Current Liabilities,-12200000.0,299300000.0,Cash Flow,
32,Change In Other Current Assets,-125000000.0,253100000.0,Cash Flow,
33,Change In Payable,22400000.0,-1289800000.0,Cash Flow,
34,Change In Inventory,2373500000.0,-3392500000.0,Cash Flow,
35,Change In Receivables,-471900000.0,-19000000.0,Cash Flow,
36,Other Non Cash Items,271100000.0,297900000.0,Cash Flow,
37,Provisionand Write Offof Assets,8000000.0,600000.0,Cash Flow,
38,Depreciation And Amortization,405300000.0,312900000.0,Cash Flow,
39,Depreciation,405300000.0,312900000.0,Cash Flow,
40,Net Foreign Currency Exchange Gain Loss,12000000.0,3500000.0,Cash Flow,
41,Gain Loss On Sale Of PPE,-300000.0,-16700000.0,Cash Flow,
42,Net Income From Continuing Operations,1347400000.0,1289700000.0,Cash Flow,
