,2022-03-31,2021-03-31,2020-03-31
Total Non Current Liabilities Net Minority Interest,50894000.0,8254492.0,2084711.0
Other Non Current Liabilities,,1002000.0,1.0
Non Current Pension And Other Postretirement Benefit Plans,10330979.0,,
Non Current Deferred Taxes Liabilities,,0.0,
Long Term Debt And Capital Lease Obligation,3600000.0,8254492.0,2084710.0
Long Term Capital Lease Obligation,36963056.0,,
Long Term Debt,3600000.0,8254492.0,2084710.0
Long Term Provisions,10331000.0,,
Current Liabilities,392556000.0,251843419.0,272025062.0
Other Current Liabilities,63048000.0,44808000.0,240926.0
Current Deferred Taxes Liabilities,5371967.0,0.0,6753088.0
Current Debt And Capital Lease Obligation,22034000.0,38973255.0,41779123.0
Current Debt,22034000.0,38973255.0,41779123.0
Pensionand Other Post Retirement Benefit Plans Current,8092335.0,,
Current Provisions,8092000.0,,
Payables,266172000.0,196739209.0,206392107.0
Other Payable,36903027.0,26848170.0,30405203.0
Total Tax Payable,5372000.0,1829498.0,5730438.0
Accounts Payable,260800000.0,168061541.0,170256466.0
Total Assets,795897000.0,574236544.0,608398815.0
Total Non Current Assets,189069000.0,131185360.0,142122174.0
Other Non Current Assets,9267000.0,-1000.0,1.0
Non Current Prepaid Assets,7147834.0,,
Non Current Deferred Taxes Assets,13979000.0,9512359.0,4015911.0
Investmentin Financial Assets,2266000.0,,
Available For Sale Securities,2266000.0,,
Net PPE,157001000.0,115588241.0,133741349.0
Accumulated Depreciation,-132318701.0,-110219579.0,
Gross PPE,157001000.0,225807820.0,133741349.0
Construction In Progress,11041000.0,5062598.0,1047824.0
Other Properties,145960000.0,21040114.0,132693525.0
Machinery Furniture Equipment,161889968.0,140206693.0,
Buildings And Improvements,96334619.0,59498415.0,
Properties,0.0,0.0,
Current Assets,606827000.0,443051184.0,466276641.0
Other Current Assets,65131000.0,3.0,-1.0
Restricted Cash,,,2899236.0
Prepaid Assets,114210430.0,30400850.0,22149602.0
Inventory,236341000.0,182219639.0,156792933.0
Other Inventories,1112220.0,973175.0,864898.0
Finished Goods,88737346.0,77535945.0,73601221.0
Raw Materials,146491336.0,103710519.0,82326814.0
Other Receivables,51951000.0,3757154.0,3937464.0
Taxes Receivable,0.0,38252595.0,22060237.0
Accounts Receivable,247116000.0,173287084.0,254321410.0
Allowance For Doubtful Accounts Receivable,-14402929.0,-7713118.0,-5840718.0
Gross Accounts Receivable,261518455.0,181000202.0,260162128.0
Cash Cash Equivalents And Short Term Investments,6288000.0,15133859.0,7014996.0
Cash And Cash Equivalents,6288000.0,15133859.0,7014996.0
Cash Equivalents,,3717098.0,2899236.0
Cash Financial,6287994.0,11416761.0,4115760.0
Free Cash Flow,5658000.0,9094323.0,-2461112.0
Repayment Of Debt,,-2858000.0,-1006790.0
Issuance Of Debt,,,13857046.0
Issuance Of Capital Stock,0.0,7253000.0,
Capital Expenditure,-36372000.0,-13882985.0,-30095579.0
End Cash Position,6288000.0,15133859.0,7014995.0
Other Cash Adjustment Outside Changein Cash,,1.0,-1.0
Beginning Cash Position,11417000.0,7014995.0,7475126.0
Changes In Cash,-5129000.0,8118863.0,-460130.0
Financing Cash Flow,-12241000.0,-975460.0,2000982.0
Net Other Financing Charges,1000.0,1000.0,
Interest Paid Cff,-8840000.0,-5370629.0,-7470674.0
Cash Dividends Paid,,,-3378600.0
Common Stock Dividend Paid,,,-3378600.0
Net Common Stock Issuance,0.0,7253000.0,
Common Stock Issuance,0.0,7253000.0,
Net Issuance Payments Of Debt,-3402000.0,4395169.0,12850256.0
Net Short Term Debt Issuance,,-2857746.0,13857046.0
Short Term Debt Issuance,,,13857046.0
Net Long Term Debt Issuance,-3402000.0,7252915.0,-1006790.0
Long Term Debt Payments,,-2858000.0,-1006790.0
Investing Cash Flow,-34918000.0,-13882985.0,-30095579.0
Net Investment Purchase And Sale,1451000.0,,0.0
Sale Of Investment,1451000.0,,
Net PPE Purchase And Sale,-36369000.0,,
Sale Of PPE,3000.0,,
Purchase Of PPE,-36372000.0,,
Capital Expenditure Reported,,-13882985.0,-30095579.0
Operating Cash Flow,42030000.0,22977308.0,27634467.0
Taxes Refund Paid,-16665000.0,-2132172.0,-24222591.0
Change In Working Capital,-48839000.0,11165566.0,-34202690.0
Change In Other Current Liabilities,26239000.0,-8427762.0,11583440.0
Change In Other Current Assets,-26525000.0,-15290045.0,-6687095.0
Change In Payable,98110000.0,-2194925.0,44139438.0
Change In Inventory,-54121000.0,-25426706.0,-27615982.0
Change In Receivables,-109276000.0,70341225.0,-62375579.0
Other Non Cash Items,9569000.0,5370629.0,7470674.0
Provisionand Write Offof Assets,6690000.0,,
Depreciation And Amortization,33614000.0,30792415.0,35162354.0
Depreciation,33614000.0,30792415.0,35162354.0
Pension And Employee Benefit Expense,-6715000.0,,
Gain Loss On Investment Securities,8000.0,,
Net Income From Continuing Operations,60714000.0,-22219130.0,43426719.0
