,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet,2023-03-31 00:00:00,2022-03-31 00:00:00
31,Interest Expense Non Operating,0.0,0.0,Income Statement,,
32,Interest Income Non Operating,1722.0,7355.0,Income Statement,,
33,Operating Income,-73390.0,-80570.0,Income Statement,,
34,Operating Expense,73390.0,80570.0,Income Statement,,
35,Other Operating Expenses,7900.0,12720.0,Income Statement,,
36,Depreciation And Amortization In Income Statement,0.0,0.0,Income Statement,,
37,Depreciation Income Statement,0.0,0.0,Income Statement,,
38,Selling General And Administration,65490.0,67850.0,Income Statement,,
39,General And Administrative Expense,65490.0,67850.0,Income Statement,,
40,Gross Profit,0.0,0.0,Income Statement,,
41,Cost Of Revenue,0.0,0.0,Income Statement,,
42,Total Revenue,0.0,0.0,Income Statement,,
43,Operating Revenue,0.0,0.0,Income Statement,,
0,Ordinary Shares Number,2930605850.0,2930605850.0,Balance Sheet,2930605850.0,
1,Share Issued,2930605850.0,2930605850.0,Balance Sheet,2930605850.0,
2,Net Debt,,,Balance Sheet,32207400000.0,
3,Total Debt,0.0,0.0,Balance Sheet,38418800000.0,
4,Tangible Book Value,8165.0,80482.0,Balance Sheet,170485600000.0,
5,Invested Capital,8165.0,80482.0,Balance Sheet,208904600000.0,
6,Working Capital,8165.0,80482.0,Balance Sheet,4993200000.0,
7,Net Tangible Assets,8165.0,80482.0,Balance Sheet,170485600000.0,
8,Capital Lease Obligations,,,Balance Sheet,0.0,
9,Common Stock Equity,8165.0,80482.0,Balance Sheet,170485800000.0,
10,Total Capitalization,8165.0,80482.0,Balance Sheet,208668800000.0,
11,Total Equity Gross Minority Interest,8165.0,80482.0,Balance Sheet,170485800000.0,
12,Stockholders Equity,8165.0,80482.0,Balance Sheet,170485800000.0,
13,Other Equity Interest,,,Balance Sheet,141179700000.0,
14,Retained Earnings,-591835.0,-519518.0,Balance Sheet,,
15,Capital Stock,600000.0,600000.0,Balance Sheet,29306100000.0,
16,Common Stock,600000.0,600000.0,Balance Sheet,29306100000.0,
17,Total Liabilities Net Minority Interest,30850.0,35570.0,Balance Sheet,85196300000.0,
18,Total Non Current Liabilities Net Minority Interest,0.0,0.0,Balance Sheet,63201700000.0,
19,Non Current Deferred Taxes Liabilities,0.0,0.0,Balance Sheet,,
20,Long Term Debt And Capital Lease Obligation,0.0,0.0,Balance Sheet,38183000000.0,
21,Long Term Capital Lease Obligation,,,Balance Sheet,0.0,
22,Long Term Debt,0.0,0.0,Balance Sheet,38183000000.0,
23,Current Liabilities,30850.0,35570.0,Balance Sheet,21994600000.0,
24,Other Current Liabilities,,,Balance Sheet,6940300000.0,
25,Current Debt And Capital Lease Obligation,0.0,0.0,Balance Sheet,235800000.0,
26,Current Capital Lease Obligation,,,Balance Sheet,0.0,
27,Current Debt,0.0,0.0,Balance Sheet,235800000.0,
28,Payables,30850.0,35570.0,Balance Sheet,3900600000.0,
29,Other Payable,30850.0,35570.0,Balance Sheet,,
30,Total Tax Payable,0.0,0.0,Balance Sheet,,
31,Accounts Payable,0.0,0.0,Balance Sheet,3900600000.0,
32,Total Assets,39015.0,116052.0,Balance Sheet,255682100000.0,
33,Total Non Current Assets,0.0,0.0,Balance Sheet,228694300000.0,
34,Other Non Current Assets,,,Balance Sheet,21145500000.0,
35,Non Current Deferred Taxes Assets,0.0,0.0,Balance Sheet,0.0,
36,Investmentin Financial Assets,0.0,0.0,Balance Sheet,911600000.0,
37,Available For Sale Securities,,,Balance Sheet,911600000.0,
38,Investment Properties,0.0,0.0,Balance Sheet,,
39,Goodwill And Other Intangible Assets,0.0,0.0,Balance Sheet,200000.0,
40,Other Intangible Assets,,,Balance Sheet,200000.0,
41,Net PPE,0.0,0.0,Balance Sheet,206637000000.0,
42,Gross PPE,0.0,0.0,Balance Sheet,206637000000.0,
43,Construction In Progress,0.0,0.0,Balance Sheet,195452300000.0,
44,Other Properties,,,Balance Sheet,11184700000.0,
45,Current Assets,39015.0,116052.0,Balance Sheet,26987800000.0,
46,Other Current Assets,,,Balance Sheet,2378800000.0,
47,Assets Held For Sale Current,,,Balance Sheet,0.0,
48,Inventory,0.0,0.0,Balance Sheet,8595400000.0,
49,Other Receivables,,195.0,Balance Sheet,,
50,Taxes Receivable,0.0,0.0,Balance Sheet,78600000.0,
51,Accounts Receivable,0.0,0.0,Balance Sheet,0.0,
52,Cash Cash Equivalents And Short Term Investments,39015.0,115857.0,Balance Sheet,15935000000.0,
53,Other Short Term Investments,,,Balance Sheet,9723600000.0,
54,Cash And Cash Equivalents,39015.0,115857.0,Balance Sheet,6211400000.0,
55,Cash Financial,39015.0,115857.0,Balance Sheet,,
0,Free Cash Flow,-78759.0,-76499.0,Cash Flow,-6392100000.0,-11482200000.0
1,Repurchase Of Capital Stock,,,Cash Flow,0.0,0.0
2,Issuance Of Debt,,,Cash Flow,21510300000.0,11444200000.0
3,Issuance Of Capital Stock,0.0,0.0,Cash Flow,0.0,500000.0
4,Capital Expenditure,,,Cash Flow,-21551900000.0,-18909900000.0
5,End Cash Position,39015.0,115857.0,Cash Flow,6211400000.0,8200000.0
6,Beginning Cash Position,115857.0,183883.0,Cash Flow,8200000.0,45700000.0
7,Changes In Cash,-76842.0,-68026.0,Cash Flow,6203200000.0,-37500000.0
8,Financing Cash Flow,0.0,0.0,Cash Flow,12929600000.0,11444700000.0
9,Net Other Financing Charges,,,Cash Flow,-8580700000.0,
10,Interest Paid Cff,,,Cash Flow,0.0,0.0
11,Net Common Stock Issuance,0.0,0.0,Cash Flow,0.0,500000.0
12,Common Stock Payments,,,Cash Flow,0.0,0.0
13,Common Stock Issuance,0.0,0.0,Cash Flow,0.0,500000.0
14,Net Issuance Payments Of Debt,,,Cash Flow,21510300000.0,11444200000.0
15,Net Short Term Debt Issuance,,,Cash Flow,9500000.0,226300000.0
16,Short Term Debt Issuance,,,Cash Flow,9500000.0,226300000.0
17,Net Long Term Debt Issuance,,,Cash Flow,21500800000.0,11217900000.0
18,Long Term Debt Issuance,,,Cash Flow,21500800000.0,11217900000.0
19,Investing Cash Flow,1917.0,8473.0,Cash Flow,-21886200000.0,-18909900000.0
20,Interest Received Cfi,1917.0,8473.0,Cash Flow,0.0,0.0
21,Net Investment Purchase And Sale,,,Cash Flow,-334300000.0,0.0
22,Purchase Of Investment,,,Cash Flow,-334300000.0,0.0
23,Net Business Purchase And Sale,,,Cash Flow,0.0,0.0
24,Purchase Of Business,,,Cash Flow,0.0,0.0
25,Net PPE Purchase And Sale,,,Cash Flow,-21551900000.0,-18909900000.0
26,Purchase Of PPE,,,Cash Flow,-21551900000.0,-18909900000.0
27,Operating Cash Flow,-78759.0,-76499.0,Cash Flow,15159800000.0,7427700000.0
28,Taxes Refund Paid,,,Cash Flow,-76000000.0,-2300000.0
29,Change In Working Capital,-4720.0,4720.0,Cash Flow,15235800000.0,7430000000.0
30,Change In Other Current Liabilities,-4720.0,4720.0,Cash Flow,,
31,Change In Payable,,,Cash Flow,28209600000.0,8835600000.0
32,Change In Inventory,,,Cash Flow,-8198600000.0,-199100000.0
33,Change In Receivables,,,Cash Flow,-4775200000.0,-1206500000.0
34,Other Non Cash Items,-1722.0,-7355.0,Cash Flow,,
35,Provisionand Write Offof Assets,,,Cash Flow,0.0,0.0
36,Depreciation And Amortization,,,Cash Flow,0.0,0.0
37,Gain Loss On Sale Of PPE,,,Cash Flow,0.0,0.0
38,Net Income From Continuing Operations,-72317.0,-73864.0,Cash Flow,0.0,0.0
