,2022-03-31,2021-03-31,2020-03-31
Investmentin Financial Assets,53037000.0,58666000.0,7494000.0
Available For Sale Securities,44805000.0,48854000.0,181000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,8232000.0,9812000.0,7313000.0
Goodwill And Other Intangible Assets,65000.0,74000.0,102000.0
Other Intangible Assets,65000.0,74000.0,102000.0
Net PPE,485519000.0,471135000.0,500928000.0
Accumulated Depreciation,-429309000.0,-395249000.0,-359898000.0
Gross PPE,914828000.0,866384000.0,860826000.0
Other Properties,231345000.0,184538000.0,181527000.0
Machinery Furniture Equipment,254321000.0,252684000.0,250137000.0
Buildings And Improvements,429162000.0,429162000.0,429162000.0
Properties,0.0,0.0,0.0
Current Assets,11266587000.0,10798559000.0,10906549000.0
Other Current Assets,721946000.0,1053029000.0,
Restricted Cash,1934000.0,2015000.0,2041000.0
Prepaid Assets,832545000.0,1169949000.0,1084707000.0
Inventory,4369763000.0,3193880000.0,3379526000.0
Finished Goods,,,3379526000.0
Other Receivables,9113000.0,152760000.0,47247000.0
Taxes Receivable,0.0,18512000.0,55801000.0
Accounts Receivable,5208326000.0,5547590000.0,5542577000.0
Cash Cash Equivalents And Short Term Investments,844906000.0,713853000.0,794650000.0
Other Short Term Investments,795835000.0,637632000.0,705201000.0
Cash And Cash Equivalents,49071000.0,76221000.0,89449000.0
Cash Equivalents,4195000.0,17934000.0,13557000.0
Cash Financial,44876000.0,58287000.0,75892000.0
Free Cash Flow,1408322000.0,-607180000.0,175734000.0
Capital Expenditure,-48444000.0,-6141000.0,-3777000.0
End Cash Position,51005000.0,78236000.0,91490000.0
Beginning Cash Position,78236000.0,91490000.0,446329000.0
Changes In Cash,-27231000.0,-13254000.0,-354839000.0
Financing Cash Flow,-1445774000.0,411661000.0,-748623000.0
Interest Paid Cff,-744299000.0,-629471000.0,-608507000.0
Cash Dividends Paid,-12995000.0,-12995000.0,-31281000.0
Common Stock Dividend Paid,,,-31281000.0
Net Common Stock Issuance,,,0.0
Net Issuance Payments Of Debt,-688480000.0,1054127000.0,-108835000.0
Net Short Term Debt Issuance,-455415000.0,556694000.0,-93739000.0
Net Long Term Debt Issuance,-233065000.0,497433000.0,-15096000.0
Investing Cash Flow,-38223000.0,176124000.0,214273000.0
Interest Received Cfi,162795000.0,165672000.0,166152000.0
Dividends Received Cfi,,0.0,236000.0
Net Investment Purchase And Sale,-152574000.0,16397000.0,51662000.0
Net Intangibles Purchase And Sale,,,0.0
Purchase Of Intangibles,,,0.0
Net PPE Purchase And Sale,-48444000.0,-5945000.0,-3777000.0
Sale Of PPE,0.0,196000.0,0.0
Purchase Of PPE,-48444000.0,-6141000.0,-3777000.0
Operating Cash Flow,1456766000.0,-601039000.0,179511000.0
Taxes Refund Paid,-60037000.0,-39925000.0,-125521000.0
Change In Working Capital,536656000.0,-1346107000.0,-547666000.0
Change In Other Current Liabilities,-71510000.0,148403000.0,35103000.0
Change In Other Current Assets,413341000.0,-134379000.0,30157000.0
Change In Payable,959720000.0,-1488738000.0,-1148794000.0
Change In Inventory,-1175883000.0,185646000.0,-365624000.0
Change In Receivables,406974000.0,-61389000.0,905315000.0
Other Non Cash Items,581504000.0,463799000.0,442355000.0
Depreciation And Amortization,34069000.0,35931000.0,41905000.0
Amortization Cash Flow,9000.0,,
Depreciation,34060000.0,35931000.0,41905000.0
Gain Loss On Investment Securities,,,-236000.0
Net Foreign Currency Exchange Gain Loss,-1834000.0,6502000.0,-30839000.0
Gain Loss On Sale Of PPE,0.0,-165000.0,0.0
Net Income From Continuing Operations,366408000.0,278926000.0,399513000.0
