,item,2021-03-31 00:00:00,2020-03-31 00:00:00,sheet
10,Total Equity Gross Minority Interest,-2039336000.0,-2140260000.0,Balance Sheet
11,Minority Interest,0.0,1000.0,Balance Sheet
12,Stockholders Equity,-2039336000.0,-2140261000.0,Balance Sheet
13,Other Equity Interest,-2215216000.0,,Balance Sheet
14,Fixed Assets Revaluation Reserve,76080000.0,76080000.0,Balance Sheet
15,Retained Earnings,-2929075000.0,-3005371000.0,Balance Sheet
16,Additional Paid In Capital,533621000.0,533621000.0,Balance Sheet
17,Capital Stock,175880000.0,175880000.0,Balance Sheet
18,Common Stock,175880000.0,175880000.0,Balance Sheet
19,Total Liabilities Net Minority Interest,3525404000.0,3883774000.0,Balance Sheet
20,Total Non Current Liabilities Net Minority Interest,0.0,0.0,Balance Sheet
21,Current Liabilities,3525404000.0,3883774000.0,Balance Sheet
22,Other Current Liabilities,2467684000.0,2717935000.0,Balance Sheet
23,Current Debt And Capital Lease Obligation,20000000.0,20000000.0,Balance Sheet
24,Current Debt,20000000.0,20000000.0,Balance Sheet
25,Pensionand Other Post Retirement Benefit Plans Current,16688000.0,24743000.0,Balance Sheet
26,Current Provisions,16688000.0,,Balance Sheet
27,Payables,925763000.0,1043492000.0,Balance Sheet
28,Other Payable,817008000.0,849203000.0,Balance Sheet
29,Dividends Payable,7115000.0,7115000.0,Balance Sheet
30,Total Tax Payable,44694000.0,131398000.0,Balance Sheet
31,Accounts Payable,56946000.0,55776000.0,Balance Sheet
32,Total Assets,1486068000.0,1743514000.0,Balance Sheet
33,Total Non Current Assets,1333055000.0,1429356000.0,Balance Sheet
34,Other Non Current Assets,42243000.0,131942000.0,Balance Sheet
35,Non Current Prepaid Assets,3978000.0,7028000.0,Balance Sheet
36,Investmentin Financial Assets,11908000.0,22553000.0,Balance Sheet
37,Available For Sale Securities,11908000.0,22553000.0,Balance Sheet
38,Long Term Equity Investment,0.0,,Balance Sheet
39,Investmentsin Subsidiariesat Cost,0.0,,Balance Sheet
40,Goodwill And Other Intangible Assets,1117076000.0,1118129000.0,Balance Sheet
41,Other Intangible Assets,1117076000.0,1118129000.0,Balance Sheet
42,Net PPE,77692000.0,81208000.0,Balance Sheet
43,Accumulated Depreciation,-33003000.0,-29405000.0,Balance Sheet
44,Gross PPE,110695000.0,110613000.0,Balance Sheet
45,Machinery Furniture Equipment,19286000.0,19204000.0,Balance Sheet
46,Land And Improvements,91409000.0,91409000.0,Balance Sheet
47,Properties,0.0,0.0,Balance Sheet
48,Current Assets,153013000.0,314158000.0,Balance Sheet
49,Other Current Assets,6428000.0,,Balance Sheet
50,Restricted Cash,21440000.0,21480000.0,Balance Sheet
51,Prepaid Assets,6415000.0,11666000.0,Balance Sheet
52,Inventory,107494000.0,239812000.0,Balance Sheet
53,Other Inventories,28782000.0,28890000.0,Balance Sheet
54,Finished Goods,6877000.0,133627000.0,Balance Sheet
55,Work In Process,7587000.0,8376000.0,Balance Sheet
56,Raw Materials,64248000.0,68919000.0,Balance Sheet
57,Other Receivables,3055000.0,2036000.0,Balance Sheet
58,Accounts Receivable,3011000.0,30000000.0,Balance Sheet
59,Allowance For Doubtful Accounts Receivable,-8832000.0,-6804000.0,Balance Sheet
60,Gross Accounts Receivable,11843000.0,36804000.0,Balance Sheet
61,Cash Cash Equivalents And Short Term Investments,11598000.0,9164000.0,Balance Sheet
62,Other Short Term Investments,24482000.0,,Balance Sheet
63,Cash And Cash Equivalents,11598000.0,9164000.0,Balance Sheet
64,Cash Financial,11598000.0,9164000.0,Balance Sheet
0,Free Cash Flow,-1586000.0,207505000.0,Cash Flow
1,Repayment Of Debt,0.0,-127571000.0,Cash Flow
2,Issuance Of Debt,0.0,20000000.0,Cash Flow
3,Capital Expenditure,-82000.0,,Cash Flow
4,End Cash Position,11598000.0,9164000.0,Cash Flow
5,Beginning Cash Position,9164000.0,3523000.0,Cash Flow
6,Changes In Cash,2434000.0,5641000.0,Cash Flow
7,Financing Cash Flow,0.0,-260452000.0,Cash Flow
8,Interest Paid Cff,0.0,-152881000.0,Cash Flow
9,Net Issuance Payments Of Debt,0.0,-107571000.0,Cash Flow
10,Net Short Term Debt Issuance,0.0,20000000.0,Cash Flow
11,Short Term Debt Issuance,0.0,20000000.0,Cash Flow
12,Net Long Term Debt Issuance,0.0,-127571000.0,Cash Flow
13,Long Term Debt Payments,0.0,-127571000.0,Cash Flow
14,Investing Cash Flow,3938000.0,58588000.0,Cash Flow
15,Interest Received Cfi,1348000.0,1337000.0,Cash Flow
16,Dividends Received Cfi,356000.0,2322000.0,Cash Flow
17,Net Investment Purchase And Sale,0.0,46179000.0,Cash Flow
18,Sale Of Investment,0.0,46179000.0,Cash Flow
19,Net PPE Purchase And Sale,2234000.0,8750000.0,Cash Flow
20,Sale Of PPE,2316000.0,8750000.0,Cash Flow
21,Purchase Of PPE,-82000.0,,Cash Flow
22,Operating Cash Flow,-1504000.0,207505000.0,Cash Flow
23,Taxes Refund Paid,-2944000.0,-3538000.0,Cash Flow
24,Change In Working Capital,-140373000.0,412060000.0,Cash Flow
25,Change In Other Current Liabilities,-393920000.0,566896000.0,Cash Flow
26,Change In Other Current Assets,89354000.0,-27447000.0,Cash Flow
27,Change In Payable,11139000.0,-240352000.0,Cash Flow
28,Change In Inventory,132318000.0,86235000.0,Cash Flow
29,Change In Receivables,24961000.0,35930000.0,Cash Flow
30,Other Non Cash Items,30024000.0,-189996000.0,Cash Flow
31,Provisionand Write Offof Assets,2028000.0,7059000.0,Cash Flow
32,Depreciation And Amortization,4651000.0,10118000.0,Cash Flow
33,Depreciation,4651000.0,10118000.0,Cash Flow
34,Gain Loss On Investment Securities,-356000.0,-2322000.0,Cash Flow
35,Net Foreign Currency Exchange Gain Loss,,0.0,Cash Flow
36,Gain Loss On Sale Of PPE,-2316000.0,-8591000.0,Cash Flow
37,Net Income From Continuing Operations,76336000.0,-22106000.0,Cash Flow
