,2022-03-31,2021-03-31,2020-03-31
Other Equity Interest,-106200000.0,7573300000.0,
Retained Earnings,-13073900000.0,-14005200000.0,-6937200000.0
Additional Paid In Capital,5078800000.0,5078800000.0,5078800000.0
Capital Stock,636200000.0,636200000.0,631000000.0
Common Stock,636200000.0,636200000.0,631000000.0
Total Liabilities Net Minority Interest,37668400000.0,47981800000.0,43143900000.0
Total Non Current Liabilities Net Minority Interest,461100000.0,2656600000.0,1926000000.0
Other Non Current Liabilities,-100000.0,,
Non Current Pension And Other Postretirement Benefit Plans,,262900000.0,240500000.0
Non Current Accrued Expenses,700000.0,600000.0,100000.0
Non Current Deferred Taxes Liabilities,0.0,1098500000.0,0.0
Long Term Debt And Capital Lease Obligation,206100000.0,79900000.0,470700000.0
Long Term Capital Lease Obligation,193200000.0,,
Long Term Debt,12900000.0,79900000.0,470700000.0
Long Term Provisions,254300000.0,262900000.0,240500000.0
Current Liabilities,37207300000.0,45325200000.0,41217900000.0
Other Current Liabilities,168000000.0,527500000.0,565900000.0
Current Deferred Taxes Liabilities,0.0,1400000.0,1700000.0
Current Debt And Capital Lease Obligation,24768900000.0,30916400000.0,31041900000.0
Current Capital Lease Obligation,55000000.0,,
Current Debt,24713900000.0,30916400000.0,31041900000.0
Current Provisions,29900000.0,586400000.0,602200000.0
Payables,8545400000.0,9993700000.0,5651700000.0
Other Payable,6148000000.0,7107400000.0,2943500000.0
Dividends Payable,176000000.0,176000000.0,176000000.0
Total Tax Payable,0.0,1400000.0,
Accounts Payable,2221400000.0,2710300000.0,2532200000.0
Total Assets,38288400000.0,56255600000.0,58178900000.0
Total Non Current Assets,27158900000.0,41807800000.0,45074800000.0
Other Non Current Assets,-100000.0,-300000.0,200000.0
Non Current Prepaid Assets,163300000.0,3519000000.0,3538100000.0
Non Current Deferred Taxes Assets,751300000.0,0.0,186300000.0
Investmentin Financial Assets,3056500000.0,,0.0
Available For Sale Securities,3056500000.0,,
Goodwill And Other Intangible Assets,7267100000.0,7288200000.0,7311000000.0
Other Intangible Assets,7065300000.0,7086600000.0,7109200000.0
Goodwill,201800000.0,201600000.0,201800000.0
Net PPE,15917200000.0,29650700000.0,31531300000.0
Accumulated Depreciation,-5141800000.0,-11473800000.0,-10231600000.0
Gross PPE,21059000000.0,41124500000.0,41762900000.0
Construction In Progress,56400000.0,1361100000.0,1395400000.0
Other Properties,267400000.0,267400000.0,238300000.0
Machinery Furniture Equipment,18009300000.0,36757400000.0,37025200000.0
Buildings And Improvements,1932700000.0,1911700000.0,2277100000.0
Land And Improvements,793200000.0,826900000.0,826900000.0
Properties,0.0,0.0,0.0
Current Assets,11129500000.0,14447800000.0,13104100000.0
Other Current Assets,1400000.0,339900000.0,38700000.0
Hedging Assets Current,0.0,,
Restricted Cash,850700000.0,1877000000.0,4300000.0
Prepaid Assets,343800000.0,2750700000.0,2876800000.0
Inventory,1305600000.0,1736400000.0,1835400000.0
Inventories Adjustments Allowances,-366800000.0,,
Other Inventories,100000.0,77200000.0,82100000.0
Finished Goods,487800000.0,392400000.0,413900000.0
Work In Process,174500000.0,167200000.0,208900000.0
Raw Materials,1010000000.0,1099600000.0,1130500000.0
Other Receivables,250900000.0,24200000.0,120200000.0
Taxes Receivable,,156300000.0,495700000.0
Accounts Receivable,877800000.0,1793900000.0,2431700000.0
Allowance For Doubtful Accounts Receivable,-1269100000.0,-871300000.0,-463500000.0
Gross Accounts Receivable,2146900000.0,2665200000.0,2895200000.0
Cash Cash Equivalents And Short Term Investments,7499300000.0,5925700000.0,5797000000.0
Other Short Term Investments,5829200000.0,94200000.0,
Cash And Cash Equivalents,1670100000.0,5831500000.0,5797000000.0
Cash Equivalents,,95400000.0,30400000.0
Cash Financial,1670100000.0,5736100000.0,5766600000.0
Free Cash Flow,-5041200000.0,2175300000.0,-3484200000.0
Repayment Of Debt,0.0,-30800000.0,-7725400000.0
Issuance Of Debt,0.0,,2400000000.0
Capital Expenditure,-182800000.0,-114900000.0,-2024300000.0
End Cash Position,2520800000.0,5831500000.0,5801300000.0
Beginning Cash Position,7469300000.0,5797000000.0,3832000000.0
Effect Of Exchange Rate Changes,163200000.0,-143400000.0,205300000.0
Changes In Cash,-5111700000.0,177900000.0,1764000000.0
Financing Cash Flow,-104200000.0,-527300000.0,-6950400000.0
Interest Paid Cff,0.0,-157200000.0,-2951700000.0
Net Issuance Payments Of Debt,-104200000.0,-370100000.0,-3998700000.0
Net Short Term Debt Issuance,-104200000.0,-339300000.0,1326700000.0
Net Long Term Debt Issuance,0.0,-30800000.0,-5325400000.0
Long Term Debt Payments,0.0,-30800000.0,-7725400000.0
Long Term Debt Issuance,0.0,,2400000000.0
Investing Cash Flow,-149100000.0,-1585000000.0,10174300000.0
Interest Received Cfi,33700000.0,40000000.0,20200000.0
Net Investment Purchase And Sale,0.0,-1872700000.0,1900000.0
Sale Of Investment,,,1900000.0
Purchase Of Investment,0.0,-1872700000.0,
Net Business Purchase And Sale,,,12152500000.0
Sale Of Business,,,12152500000.0
Net PPE Purchase And Sale,-182800000.0,247700000.0,24000000.0
Sale Of PPE,0.0,362600000.0,24000000.0
Purchase Of PPE,-182800000.0,-114900000.0,
Capital Expenditure Reported,,,-2024300000.0
Operating Cash Flow,-4858400000.0,2290200000.0,-1459900000.0
Taxes Refund Paid,-11900000.0,715000000.0,-18000000.0
Change In Working Capital,-5412900000.0,2300000.0,69400000.0
Change In Other Current Assets,-6520300000.0,-512700000.0,287000000.0
Change In Payable,-213600000.0,254500000.0,-219400000.0
Change In Inventory,197100000.0,99000000.0,1375600000.0
Change In Receivables,221300000.0,261200000.0,1085900000.0
Other Non Cash Items,205000000.0,4088500000.0,4544700000.0
Provisionand Write Offof Assets,3612800000.0,408100000.0,923400000.0
Depreciation And Amortization,992700000.0,1394500000.0,1371700000.0
Depreciation,992700000.0,1394500000.0,1371700000.0
Gain Loss On Sale Of PPE,0.0,-500000.0,6000000.0
Gain Loss On Sale Of Business,,,-7874000000.0
Net Income From Continuing Operations,-4244000000.0,-4317800000.0,-13483200000.0
