,2022-03-31,2021-03-31,2020-03-31
Interest Expense Non Operating,152070000.0,191330000.0,303070000.0
Interest Income Non Operating,5010000.0,7340000.0,6950000.0
Operating Income,803910000.0,533070000.0,489900000.0
Operating Expense,2048000000.0,1802970000.0,1808570000.0
Other Operating Expenses,431390000.0,357530000.0,367330000.0
Depreciation And Amortization In Income Statement,171930000.0,157470000.0,155080000.0
Amortization,62240000.0,61430000.0,62430000.0
Depreciation Income Statement,109690000.0,96040000.0,92650000.0
Selling General And Administration,124900000.0,84410000.0,110760000.0
Selling And Marketing Expense,10100000.0,1420000.0,4590000.0
General And Administrative Expense,114800000.0,82990000.0,106170000.0
Rent And Landing Fees,20190000.0,20160000.0,20960000.0
Gross Profit,2851910000.0,2336040000.0,2298470000.0
Cost Of Revenue,5541330000.0,4559990000.0,4112520000.0
Total Revenue,8393240000.0,6896030000.0,6410990000.0
Operating Revenue,8393240000.0,6896030000.0,6410990000.0
Ordinary Shares Number,65292577.0,65292577.0,65292577.0
Share Issued,65292577.0,65292577.0,65292577.0
Net Debt,2863000000.0,2640040000.0,2239680000.0
Total Debt,3176500000.0,3162840000.0,2743330000.0
Tangible Book Value,865630000.0,591280000.0,458400000.0
Invested Capital,3812440000.0,3552770000.0,2950540000.0
Working Capital,512720000.0,4440000.0,-543320000.0
Net Tangible Assets,865630000.0,591280000.0,458400000.0
Capital Lease Obligations,235970000.0,209520000.0,258520000.0
Common Stock Equity,871910000.0,599450000.0,465730000.0
Total Capitalization,1613740000.0,1411220000.0,961480000.0
Total Equity Gross Minority Interest,871910000.0,282080000.0,34460000.0
Minority Interest,0.0,-317370000.0,-431270000.0
Stockholders Equity,871910000.0,599450000.0,465730000.0
Other Equity Interest,,10000.0,
Retained Earnings,909670000.0,232340000.0,27130000.0
Additional Paid In Capital,536770000.0,539630000.0,467590000.0
Capital Stock,15970000.0,15970000.0,15300000.0
Common Stock,15970000.0,15970000.0,15300000.0
Total Liabilities Net Minority Interest,5007710000.0,4842760000.0,4462030000.0
Total Non Current Liabilities Net Minority Interest,1017570000.0,1051090000.0,792130000.0
Other Non Current Liabilities,,4360000.0,10510000.0
Tradeand Other Payables Non Current,19650000.0,1660000.0,8980000.0
Long Term Debt And Capital Lease Obligation,911840000.0,967670000.0,700910000.0
Long Term Capital Lease Obligation,170010000.0,155900000.0,205160000.0
Long Term Debt,741830000.0,811770000.0,495750000.0
Long Term Provisions,86080000.0,77400000.0,71730000.0
Current Liabilities,3990140000.0,3791670000.0,3669900000.0
Other Current Liabilities,45150000.0,29420000.0,48110000.0
Current Debt And Capital Lease Obligation,2264660000.0,2195170000.0,2042420000.0
Current Capital Lease Obligation,65960000.0,53620000.0,53360000.0
Current Debt,2198700000.0,2141550000.0,1989060000.0
Pensionand Other Post Retirement Benefit Plans Current,60370000.0,57810000.0,59850000.0
Current Provisions,11130000.0,12380000.0,13060000.0
Payables,1317070000.0,1384340000.0,1448840000.0
Other Payable,79580000.0,39840000.0,38150000.0
Dividends Payable,9290000.0,21270000.0,3500000.0
Total Tax Payable,43300000.0,48640000.0,49410000.0
Accounts Payable,1184900000.0,1274590000.0,1357780000.0
Total Assets,5879620000.0,5124840000.0,4496490000.0
Total Non Current Assets,1376760000.0,1328730000.0,1369910000.0
Other Non Current Assets,,3610000.0,7480000.0
Non Current Prepaid Assets,45150000.0,35820000.0,36600000.0
Non Current Deferred Taxes Assets,163540000.0,232410000.0,262470000.0
Other Investments,,,23500000.0
Investmentin Financial Assets,8160000.0,8050000.0,8260000.0
Available For Sale Securities,8160000.0,8050000.0,8260000.0
Goodwill And Other Intangible Assets,6280000.0,8170000.0,7330000.0
Other Intangible Assets,6280000.0,8170000.0,7330000.0
Net PPE,1135980000.0,1032690000.0,1006060000.0
Accumulated Depreciation,-201040000.0,-168760000.0,-74680000.0
Gross PPE,1337020000.0,1201450000.0,1080740000.0
Construction In Progress,19650000.0,0.0,26690000.0
Other Properties,264810000.0,237210000.0,292480000.0
Machinery Furniture Equipment,758020000.0,670970000.0,506070000.0
Buildings And Improvements,294540000.0,293270000.0,255500000.0
Properties,0.0,0.0,0.0
Current Assets,4502860000.0,3796110000.0,3126580000.0
Other Current Assets,27480000.0,22220000.0,19870000.0
Restricted Cash,23800000.0,21870000.0,20030000.0
Prepaid Assets,234010000.0,128480000.0,129080000.0
Inventory,2330220000.0,1457770000.0,1552620000.0
Finished Goods,228030000.0,221740000.0,304560000.0
Work In Process,163700000.0,103280000.0,224230000.0
Raw Materials,1938490000.0,1132750000.0,1023830000.0
Other Receivables,33480000.0,33510000.0,21200000.0
Accounts Receivable,1773730000.0,1818880000.0,1137850000.0
Allowance For Doubtful Accounts Receivable,-12850000.0,-18190000.0,-40180000.0
Gross Accounts Receivable,1786580000.0,1837070000.0,1178030000.0
Cash Cash Equivalents And Short Term Investments,80140000.0,313380000.0,245930000.0
Other Short Term Investments,2610000.0,100000.0,800000.0
Cash And Cash Equivalents,77530000.0,313280000.0,245130000.0
Cash Financial,77530000.0,313280000.0,245130000.0
Free Cash Flow,-20830000.0,-136980000.0,486890000.0
Repurchase Of Capital Stock,-67800000.0,0.0,0.0
Repayment Of Debt,-107690000.0,-196210000.0,-154750000.0
Issuance Of Debt,377240000.0,636630000.0,0.0
Issuance Of Capital Stock,0.0,72710000.0,301590000.0
Capital Expenditure,-159420000.0,-192140000.0,-170360000.0
End Cash Position,77590000.0,313380000.0,245930000.0
Beginning Cash Position,313380000.0,245930000.0,203920000.0
Effect Of Exchange Rate Changes,-330000.0,-4730000.0,880000.0
Changes In Cash,-235460000.0,72180000.0,41130000.0
Financing Cash Flow,-208360000.0,279640000.0,-423420000.0
Net Other Financing Charges,-10000.0,,
Interest Paid Cff,-188940000.0,-217360000.0,-425880000.0
Cash Dividends Paid,-37790000.0,-36800000.0,-3500000.0
Preferred Stock Dividend Paid,-37790000.0,-36800000.0,-3500000.0
Net Preferred Stock Issuance,-11180000.0,0.0,301590000.0
Preferred Stock Payments,-11180000.0,0.0,0.0
Preferred Stock Issuance,0.0,0.0,301590000.0
Net Common Stock Issuance,-56620000.0,72710000.0,0.0
Common Stock Payments,-56620000.0,0.0,0.0
Common Stock Issuance,0.0,72710000.0,0.0
Net Issuance Payments Of Debt,158310000.0,529090000.0,-232340000.0
Net Short Term Debt Issuance,-111240000.0,88670000.0,-77590000.0
Net Long Term Debt Issuance,269550000.0,440420000.0,-154750000.0
Long Term Debt Payments,-107690000.0,-196210000.0,-154750000.0
Long Term Debt Issuance,377240000.0,636630000.0,0.0
Investing Cash Flow,-165690000.0,-262620000.0,-192700000.0
Interest Received Cfi,4730000.0,7080000.0,6190000.0
Net Investment Purchase And Sale,0.0,28870000.0,-23500000.0
Net Business Purchase And Sale,-11000000.0,-106430000.0,-5030000.0
Purchase Of Business,-11000000.0,-106430000.0,-5030000.0
Net PPE Purchase And Sale,-159420000.0,-192140000.0,-170360000.0
Operating Cash Flow,138590000.0,55160000.0,657250000.0
Taxes Refund Paid,-125240000.0,-35330000.0,-46930000.0
Change In Working Capital,-848390000.0,-560480000.0,-121130000.0
Change In Other Current Liabilities,2720000.0,-940000.0,-244180000.0
Change In Other Current Assets,-105650000.0,83340000.0,-91220000.0
Change In Payable,-14510000.0,-48690000.0,-301050000.0
Change In Inventory,-812470000.0,91010000.0,-81300000.0
Change In Receivables,63500000.0,-694500000.0,576750000.0
Other Non Cash Items,216650000.0,222020000.0,434390000.0
Stock Based Compensation,0.0,0.0,0.0
Provisionand Write Offof Assets,15990000.0,-7800000.0,27760000.0
Depreciation And Amortization,171930000.0,157470000.0,155080000.0
Depreciation,171930000.0,157470000.0,155080000.0
Pension And Employee Benefit Expense,-5840000.0,-1700000.0,-3200000.0
Gain Loss On Investment Securities,34290000.0,33300000.0,
Net Foreign Currency Exchange Gain Loss,24530000.0,-34450000.0,58330000.0
Gain Loss On Sale Of PPE,-800000.0,-6160000.0,0.0
Net Income From Continuing Operations,864310000.0,288290000.0,152950000.0
